"Cf5","0","0","1","2","7","7","8","1","1","6","2","6","1","10","3","9","1","1","1","1","2","9","7","8","15","9","3","5","6","7","8","2","4","4","1","1","3","7","2","7","6","1","7","7","7","8","1","9","1","1","3","2","3","4","4","4","9","3","10","9","9","9","9","5","9","1","9","1","1","6","5","7","2","7","1","2","5","3","3","8","3","1","2"
"Cg1","0","0","1","3","6","6","8","7","1","2","2","2","9","6","3","9","1","1","1","1","2","9","10","1","15","9","3","5","6","7","8","3","4","4","1","1","3","7","2","7","6","1","7","7","7","7","1","9","9","1","2","2","3","4","4","4","4","3","10","10","3","9","9","5","9","1","9","1","1","6","5","5","1","5","1","5","5","3","1","8","11","6","2"
"Cg2","0","2","3","4","1","7","8","7","1","10","1","10","2","6","3","9","1","1","1","1","2","9","7","8","15","9","2","2","6","7","8","3","3","4","1","1","1","7","2","4","6","1","6","9","1","1","1","9","1","1","1","2","3","9","9","9","9","9","10","9","9","9","9","3","2","1","9","4","3","3","5","7","1","7","1","2","5","3","1","8","3","1","2"
"Cg3","0","1","0","4","5","7","8","6","1","10","1","10","2","6","3","9","1","1","1","1","2","9","7","8","15","9","3","5","5","5","8","2","3","4","1","1","3","7","2","7","6","1","7","7","7","1","1","9","1","1","2","2","3","4","3","4","9","9","10","9","9","9","9","5","9","1","9","1","1","6","5","7","2","7","2","2","5","2","1","8","8","8","2"
"Ch1","0","0","0","4","6","7","8","7","1","8","1","8","2","6","2","9","3","3","1","1","9","9","7","2","15","9","4","5","6","8","8","3","4","4","1","1","3","7","2","7","1","1","6","8","1","8","1","9","1","9","5","4","3","9","9","3","9","3","10","9","10","9","9","5","9","1","9","1","1","6","5","4","4","4","4","2","6","3","2","9","11","1","2"
"Ch11","0","0","0","3","7","4","7","1","1","10","2","6","9","11","3","9","1","1","1","1","2","9","10","1","15","9","3","6","6","7","8","2","5","4","1","1","3","7","2","7","6","8","7","7","7","9","8","9","9","9","2","2","4","4","3","4","10","9","10","10","10","9","9","5","9","1","9","1","1","3","5","1","9","5","2","3","5","2","3","9","8","2","1"
"ch12","0","0","0","5","5","1","7","2","2","7","1","10","9","8","1","9","3","3","1","1","2","9","7","8","15","9","8","5","6","7","8","3","5","4","10","1","2","4","2","8","7","9","6","3","9","1","1","6","1","1","3","1","10","9","9","10","9","3","9","9","9","9","9","5","2","1","9","1","1","6","5","7","3","7","3","2","5","2","3","8","3","5","1"
"ch14","0","0","0","1","9","4","6","1","1","10","1","10","9","8","2","9","1","1","2","2","2","9","7","8","15","9","3","5","6","7","4","2","5","4","1","1","3","3","2","7","6","9","6","8","9","1","1","6","1","8","5","2","10","9","3","10","3","3","9","9","9","9","9","2","3","1","9","1","1","6","5","7","3","7","3","3","5","2","3","8","8","1","2"
"ch15","0","0","0","2","8","7","1","1","1","10","1","10","9","11","3","9","4","3","1","1","2","9","7","8","15","9","3","5","6","7","6","2","5","4","1","1","3","7","2","7","7","9","5","8","1","1","1","6","1","1","5","2","10","9","9","9","3","9","9","9","9","9","9","3","2","1","9","1","2","6","5","7","1","7","1","4","5","3","3","8","3","8","2"
"ch16","0","0","1","3","6","7","8","1","1","12","2","12","3","9","3","9","1","1","1","1","1","9","6","3","2","1","2","5","6","5","8","2","5","4","1","2","3","7","2","7","6","1","3","1","9","1","1","6","1","1","3","2","3","4","9","10","9","9","9","9","9","9","9","5","2","1","9","1","1","6","5","7","4","5","2","2","5","2","3","9","8","6","2"
"ch17","0","0","0","3","7","4","6","7","1","6","2","6","9","11","1","9","1","1","1","1","2","9","7","8","15","9","3","5","6","7","7","3","5","4","1","1","2","7","2","7","6","1","6","8","9","9","2","9","9","1","1","2","3","9","9","10","10","9","10","10","9","3","9","2","9","1","9","1","2","6","5","7","3","7","1","5","5","2","2","9","8","8","2"
"ch21","0","0","1","2","7","7","8","1","1","10","1","10","9","11","3","9","1","1","1","1","2","9","10","1","9","2","2","5","6","5","8","2","5","4","1","1","3","7","2","7","6","1","3","1","1","1","1","6","9","1","3","2","3","4","3","3","3","9","9","10","3","9","9","5","2","1","9","1","2","6","5","7","4","4","1","2","5","2","3","8","3","2","2"
