"","Friulian","Italian","Romansh","Walloon","French","Occitan","Spanish","Portuguese","Catalan","Aromanian","Romanian","Latin","Breton","Breton","Breton","Cornish","Welsh","Welsh","Irish","Scottish Gaelic","Luxembourgish","German","West Flemish","Dutch","English","Swedish","Swedish","Swedish","Norwegian (Bokmål)","Danish","Faroese","Icelandic","Gothic","Czech","Czech","Slovak","Upper Sorbian","Lower Sorbian","Polish","Belarusian","Ukrainian","Russian","Bulgarian","Macedonian","Serbian","Old Church Slavonic","Slovenian","Latvian","Lithuanian","Western Punjabi","Urdu","Hindi","Bihari","Gujarati","Marathi","Sindhi","Assamese","Oriya","Bengali","Kashmiri","Sinhalese","Romani","Sanskrit","Tajik","Persian","Kurdish (Sorani)","Ossetian","Albanian","Anglo Saxon","Greek","Armenian","Armenian"
"Romanian",3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,3978.78246727278,1605.7120298417,0,2738.6850034307,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Latin",2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,2738.6850034307,0,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,6924.0463371314,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,8208.68985453843,6560.73668022503,9449.08539680351,9449.08539680351,9449.0853968035,9449.08539680353,9449.08539680353,9449.0853968035,9449.0853968035,9449.0853968035,9449.0853968035,9449.08539680353,9449.08539680353,9449.08539680353,8477.39418072291,9449.0853968035,9449.0853968035,9449.0853968035,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,7836.79356271638,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,10830.9396609964,11696.7830164951,11696.7830164951
"Breton",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,0,314.244182732004,853.195894189598,2058.3953543235,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Breton",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,314.244182732004,0,853.195894189598,2058.3953543235,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Breton",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,853.195894189598,853.195894189598,0,2058.3953543235,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Cornish",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,2058.3953543235,2058.3953543235,2058.3953543235,0,3095.643438384,3095.643438384,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Welsh",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,3095.643438384,3095.643438384,3095.643438384,3095.643438384,0,481.628238346729,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Welsh",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,3095.643438384,3095.643438384,3095.643438384,3095.643438384,481.628238346729,0,5742.1585000319,5742.1585000319,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Irish",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,5742.1585000319,5742.1585000319,5742.1585000319,5742.1585000319,5742.1585000319,5742.1585000319,0,1832.6199460009,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
"Scottish Gaelic",8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,8891.1691552896,6924.0463371314,5742.1585000319,5742.1585000319,5742.1585000319,5742.1585000319,5742.1585000319,5742.1585000319,1832.6199460009,0,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,10175.8126726966,8527.85949838323,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,11416.2082149617,10444.5169988811,11416.2082149617,11416.2082149617,11416.2082149617,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,9803.91638087458,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,12798.0624791546,13663.9058346533,13663.9058346533
