"","xd_id","iso_6933","N_iso_shared","DialectLanguageGlottocode","DialectLanguageLevel","FamilyGlottocode","FamilyLevel","AdminComments","soc_id","autotyp.area","latitude","longitude"
"285","xd420","bji",1,"burj1242","language","afro1255","family","","Ca14","Greater Abyssinia",5,38
"286","xd226","bjw",1,"bakw1243","language","atla1278","family","","Af46","African Savannah",5,-7
"287","xd926","bkc",1,"baka1272","language","atla1278","family","","B63","African Savannah",2.39,15.31
"288","xd175","bkh",1,"bako1249","language","atla1278","family","","Ae53","African Savannah",4,11
"289","xd176","bkm",1,"komc1235","language","atla1278","family","","Ae54","African Savannah",6,10
"290","xd183","bko",1,"kwaa1265","language","atla1278","family","","Ae7","S Africa",3,25
"291","xd1400","bkq",1,"baka1277","language","cari1283","family","","Si3","NE South America",-14,-55
"292","xd194","bky",1,"boky1238","language","atla1278","family","","Af17","African Savannah",6,9
"293","xd1212","bla",3,"bloo1239","dialect","algi1248","family","","Ne13","Basin and Plains",51,-115
"294","xd1211","bla",3,"pieg1239","dialect","algi1248","family","","Ne12","Basin and Plains",51,-112
"295","xd1217","bla",3,"pieg1239","dialect","algi1248","family","","Ne18","Basin and Plains",49,-115
"296","xd1106","blc",1,"bell1243","language","sali1255","family","","Nb9","Alaska-Oregon",52,-127
"297","xd250","ble",1,"bala1301","language","atla1278","family","","Ag15","African Savannah",12,-16
"298","xd350","bmi",1,"bagi1246","language","cent2225","family","","Ai21","African Savannah",11,17
"299","xd164","bmw",1,"bomw1238","language","atla1278","family","","Ae43","African Savannah",2,16
"300","xd168","bnm",1,"bata1285","language","atla1278","family","","Ae47","S Africa",2,10
"301","xd733","bnn",1,"bunu1267","language","aust1307","family","","Ia10","Southeast Asia",24,121
"302","xd847","bnp",1,"bola1250","language","aust1307","family","","Ig15","N Coast New Guinea",-5,150
"303","xd656","bod",1,"tibe1272","language","sino1245","family","","Ee4","Inner Asia",30,91
"304","xd484","bol",1,"nucl1695","language","afro1255","family","","Cb7","African Savannah",11,11
"305","xd306","bom",1,"bero1242","language","atla1278","family","","Ah17","African Savannah",10,9
"306","xd1397","bor",1,"boro1282","language","boro1281","family","","Si1","NE South America",-16,-55
"307","xd365","bot",1,"bong1285","language","cent2225","family","","Ai35","African Savannah",7,29
"308","xd295","boz",1,"tiey1235","language","mand1469","family","","Ag7","African Savannah",14,-5
"309","xd812","bpg",1,"bong1287","language","aust1307","family","","Ie34","N Coast New Guinea",-2.25,139.75
"310","xd740","bpr",1,"koro1310","language","aust1307","family","","Ia17","Oceania",6,125
"311","xd607","bqi",1,"bakh1245","language","indo1319","family","","Ea8","Greater Mesopotamia",33,48
"312","xd150","bip",1,"bila1255","language","atla1278","family","","Ae30","S Africa",1,29
"313","xd154","brf",1,"bera1259","language","atla1278","family","","Ae34","S Africa",1,30
"314","xd138","bri",1,"mokp1239","language","atla1278","family","","Ae2","African Savannah",4,9
"315","xd356","brm",1,"bara1361","language","atla1278","family","","Ai27","S Africa",4,27
"316","xd257","bsc",1,"bass1258","language","atla1278","family","","Ag21","African Savannah",12,-13
"317","xd435","bst",1,"bask1236","language","gong1255","family","","Ca28","Greater Abyssinia",6,37
"318","xd325","bta",1,"bata1314","language","afro1255","family","","Ah34","African Savannah",10,13
"319","xd286","bud",1,"ntch1242","language","atla1278","family","","Ag48","African Savannah",9,1
"320","xd805","buk",1,"buga1250","language","aust1307","family","","Ie28","N Coast New Guinea",-7,147
"321","xd569","bul",1,"bulg1262","language","indo1319","family","","Ch5","Europe",43,24
"322","xd191","bun",1,"sher1258","language","atla1278","family","","Af14","African Savannah",7.9,-12.8
"323","xd151","buu",1,"budu1250","language","atla1278","family","","Ae31","S Africa",2,28
"324","xd307","bux",1,"bogh1241","language","afro1255","family","","Ah18","African Savannah",10,10
"325","xd165","bvb",1,"bube1242","language","atla1278","family","","Ae44","African Savannah",4,9
"326","xd941","bvr",2,"gunn1247","dialect","mani1293","family","","B86","N Australia",-12.2,134.73
"327","xd774","bvr",2,"gunn1248","dialect","mani1293","family","","Id11","N Australia",-12,135
"328","xd848","bwd",1,"bwai1242","language","aust1307","family","","Ig16","S New Guinea",-9,150
"329","xd326","bwr",1,"bura1292","language","afro1255","family","","Ah35","African Savannah",10,12
"330","xd275","bwu",1,"buli1254","language","atla1278","family","","Ag38","African Savannah",11,-2
"331","xd111","bxk",1,"buku1249","language","atla1278","family","","Ad41","S Africa",1,35
"332","xd57","byi",1,"buyu1239","language","atla1278","family","","Ac31","S Africa",-7,28
"333","xd445","byn",1,"bili1260","language","afro1255","family","","Ca37","Greater Abyssinia",16,36
"334","xd235","bza",1,"band1352","language","mand1469","family","","Af54","African Savannah",8,-10
"335","xd1321","bzd",1,"brib1243","language","chib1249","family","","Sa5","Mesoamerica",9,-83
"336","xd264","bze",1,"jena1242","language","mand1469","family","","Ag28","African Savannah",14,-4
"337","xd301","bzw",2,"basa1282","language","atla1278","family","","Ah12","African Savannah",8,7
"338","xd1319","caa",1,"chor1273","language","maya1287","family","","Sa3","Mesoamerica",14,-89
"339","xd1323","cab",1,"gari1256","language","araw1281","family","","Sa7","Mesoamerica",16,-89
"340","xd1234","cad",2,"cadd1256","language","cadd1255","family","","Nf14","Basin and Plains",33,-93
"341","xd1242","cad",2,"cadd1256","language","cadd1255","family","","Nf8","Basin and Plains",31,-95
"342","xd1069","caf",1,"sout2958","language","atha1245","family","","Nb10","Alaska-Oregon",53,-126
"343","xd1311","cak",1,"kaqc1270","language","maya1287","family","","Sa11","Mesoamerica",14,-91
"344","xd830","cal",1,"caro1242","language","aust1307","family","","If15","Oceania",15.1,145.9
"345","xd1364","cao",1,"chac1251","language","pano1256","family","","Se11","NE South America",-12,-67
"346","xd1329","car",3,"gali1262","language","cari1283","family","","Sb4","NE South America",9,-64
"347","xd1346","car",3,"mura1272","dialect","cari1283","family","","Sc3","NE South America",5,-59
"348","xd1326","car",3,"tyre1237","dialect","cari1283","family","","Sb1","Mesoamerica",14.83,-61.179
"349","xd1376","cbi",1,"chac1249","language","barb1265","family","","Sf3","Andean",1,-79
"350","xd25","cce",2,"copi1238","dialect","atla1278","family","","Ab22","S Africa",-24.75,34.55
"351","xd319","ccg",1,"samb1311","language","atla1278","family","","Ah29","African Savannah",8,11
"352","xd299","cch",1,"atsa1241","language","atla1278","family","","Ah10","African Savannah",10,9
"353","xd697","ccp",1,"chak1266","language","indo1319","family","","Ei10","Indic",23,92
"354","xd672","cde",1,"chen1255","language","drav1251","family","","Eg1","Indic",16,79
"355","xd303","cdr",1,"cind1241","language","atla1278","family","","Ah14","African Savannah",11,6
"356","xd997","cea",1,"lowe1427","language","sali1255","family","","B272","Alaska-Oregon",46.87,-123.67
"357","xd735","ceb",1,"cebu1242","language","aust1307","family","","Ia12","Oceania",10,124
"358","xd1393","ceg",1,"cham1315","language","zamu1243","family","","Sh6","SE South America",-20,-59
"359","xd567","ces",1,"czec1258","language","indo1319","family","","Ch3","Europe",50,16
"360","xd80","cgg",1,"chig1238","language","atla1278","family","","Ad13","S Africa",-3,30
"361","xd839","cha",1,"cham1312","language","aust1307","family","","If8","Oceania",13.7,144.7
"362","xd1379","chb",1,"chib1270","language","chib1249","family","","Sf6","NE South America",5,-72
"363","xd1258","chc",1,"cata1286","language","siou1252","family","","Ng9","E North America",35,-80
"364","xd1300","chd",1,"high1242","language","tequ1244","family","","Nj14","Mesoamerica",16,-96
"365","xd583","che",1,"chec1245","language","nakh1245","family","","Ci7","Greater Mesopotamia",43,46
"366","xd1078","chh",1,"chin1286","language","chin1490","family","","Nb19","Alaska-Oregon",46,-124
"367","xd833","chk",1,"chuu1238","language","aust1307","family","","If2","Oceania",7.4,151.9
"368","xd1131","chl",3,"cahu1264","language","utoa1244","family","Note, three Cahuilla Dialects (Mountain, Pass, Desert) are recognized by some, but Glottolog does not list any dialects","Nc31","California",33,-116
"369","xd1247","cho",1,"choc1276","language","musk1252","family","","Ng12","E North America",33,-88
"370","xd1046","chp",1,"chip1261","language","atha1245","family","","Na30","E North America",60,-105
"371","xd1254","chr",1,"cher1273","language","iroq1247","family","","Ng5","E North America",36,-83
"372","xd551","chv",1,"chuv1255","language","turk1311","family","","ch14","Inner Asia",57,53
"373","xd1224","chy",1,"chey1247","language","algi1248","family","","Ne5","Basin and Plains",39,-104
"374","xd1249","cic",1,"chic1270","language","musk1252","family","","Ng14","E North America",35,-85
"375","xd1052","ciw",2,"redl1238","dialect","algi1248","family","","Na36","E North America",49,-96
"376","xd1054","ciw",2,"uppe1274","dialect","algi1248","family","","Na38","E North America",46,-92
"377","xd36","cjk",1,"chok1245","language","atla1278","family","","Ac12","S Africa",-10,21
"378","xd718","cjm",1,"east2563","language","aust1307","family","","Ej11","Southeast Asia",11,108
"379","xd576","ckb",1,"cent1972","language","indo1319","family","","Ci11","Greater Mesopotamia",32,44
"380","xd631","ckt",1,"chuk1273","language","chuk1271","family","","Ec3","N Coast Asia",66,177
"381","xd1206","clc",1,"chil1280","language","atha1245","family","","Nd8","Alaska-Oregon",52,-122
"382","xd1075","clm",1,"clal1241","language","sali1255","family","","Nb16","Alaska-Oregon",48,-123
"383","xd639","cmn",1,"mand1415","language","sino1245","family","","Ed10","Southeast Asia",37,118
"384","xd1269","coc",1,"coco1261","language","coch1271","family","","Nh19","Mesoamerica",32,-115
"385","xd1363","cod",1,"coca1259","language","tupi1275","family","","Se10","NE South America",1,-79
"386","xd1148","col",2,"wena1241","dialect","sali1255","family","","Nd16","Alaska-Oregon",48,-121
"387","xd1222","com",1,"coma1245","language","utoa1244","family","","Ne3","Basin and Plains",33,-100
"388","xd1073","coo",2,"isla1276","dialect","sali1255","family","","Nb14","Alaska-Oregon",50,-125
"389","xd1071","coo",2,"slia1241","dialect","sali1255","family","","Nb12","Alaska-Oregon",51,-125
"390","xd296","cou",1,"wame1240","language","atla1278","family","","Ag8","African Savannah",13,-13
"391","xd1146","crd",1,"coeu1236","language","sali1255","family","","Nd14","Basin and Plains",48,-117
"392","xd1047","crj",4,"sout2978","language","algi1248","family","","Na31","E North America",51,-85
"393","xd1062","crj",4,"sout2978","language","algi1248","family","","Na45","Inner Asia",52,72
"394","xd1011","crj",4,"sout2978","language","algi1248","family","","B360","E North America",51.08,-77.81
"395","xd1005","crj",4,"sout2978","language","algi1248","family","","B340","E North America",49.78,-76.64
"396","xd1218","crk",1,"plai1258","language","algi1248","family","","Ne19","E North America",45,-94
"397","xd1223","cro",1,"crow1244","language","siou1252","family","","Ne4","Basin and Plains",45,-108
"398","xd1035","crx",1,"carr1249","language","atha1245","family","","Na19","Alaska-Oregon",54,-124
"399","xd983","csi",1,"coas1301","language","miwo1274","family","","B168","California",38.24,-122.88
"400","xd1065","csw",1,"swam1239","language","algi1248","family","","Na7","E North America",53,-83
"401","xd1081","csz",1,"coos1249","language","coos1248","family","","Nb21","California",43,-124
"402","xd1369","cub",1,"cube1242","language","tuca1253","family","","Se5","NE South America",1,-71
"403","xd1132","cup",1,"cupe1243","language","utoa1244","family","","Nc32","California",33,-117
"404","xd95","cwe",1,"kwer1261","language","atla1278","family","","Ad27","S Africa",-7,39
"405","xd282","dag",1,"dagb1246","language","atla1278","family","","Ag44","African Savannah",9,0
"406","xd1220","dak",1,"dako1258","language","siou1252","family","","Ne20","E North America",45,-94
"407","xd679","daq",1,"dand1238","language","drav1251","family","","Eg3","Indic",19,81
"408","xd106","dav",1,"tait1250","language","atla1278","family","","Ad37","S Africa",-4,39
"409","xd954","dbl",2,"mamu1253","dialect","pama1250","family","","B105","N Australia",-17.64,145.84
"410","xd957","dbl",2,"ngad1260","dialect","pama1250","family","","B110","N Australia",-17.36,145.56
"411","xd956","ddj",1,"jaru1254","language","pama1250","family","","B108","N Australia",-19.16,130
"412","xd1255","dep",1,"pidg1246","language","amer1257","family","","Ng6","E North America",41,-75
"413","xd906","dgc",1,"casi1235","language","aust1307","family","","B12","Oceania",17.33,122.13
"414","xd1032","dgr",1,"dogr1252","language","atha1245","family","","Na15","E North America",63,-117
"415","xd873","dhv",1,"dehu1237","language","aust1307","family","","Ih7","Oceania",-21,164.75
"416","xd394","did",1,"didi1258","language","surm1244","family","","Aj19","African Savannah",4,34
"417","xd779","dif",1,"dier1241","language","pama1250","family","","Id4","S Australia",-28,138
"418","xd99","dig",1,"digo1243","language","atla1278","family","","Ad30","S Africa",-4,39
"419","xd1137","dih",3,"tipa1240","dialect","coch1271","family","","Nc6","Mesoamerica",32,-116
"420","xd1271","dih",3,"kimi1238","dialect","coch1271","family","","Nh20","Basin and Plains",33,-115
"421","xd382","dil",1,"dill1242","language","nubi1251","family","","Ai8","African Savannah",12,30
"422","xd431","dim",1,"dime1235","language","sout2845","family","","Ca24","Greater Abyssinia",6,36
"423","xd47","diz",1,"ding1239","language","atla1278","family","","Ac22","S Africa",-4,20
"424","xd940","djb",1,"djin1252","language","pama1250","family","","B85","N Australia",-12.31,135.2
"425","xd470","dje",1,"zarm1239","language","song1307","family","","Cb20","African Savannah",13,3
"426","xd1344","djk",1,"ndyu1242","language","indo1319","family","","Sc18","NE South America",5,-54
"427","xd237","dnj",2,"dann1241","language","mand1469","family","","Af56","African Savannah",7,-8
"428","xd231","dnj",2,"gwee1242","dialect","mand1469","family","","Af50","African Savannah",8,8
"429","xd857","dob",1,"dobu1241","language","aust1307","family","","Ig5","S New Guinea",-10,151
"430","xd344","dow",1,"doya1240","language","atla1278","family","","Ai16","African Savannah",9,13
"431","xd450","doz",1,"dorz1235","language","gong1255","family","","Ca41","Greater Abyssinia",6,38
"432","xd302","dri",1,"clel1238","language","atla1278","family","","Ah13","African Savannah",12,5
"433","xd973","drl",1,"darl1243","language","pama1250","family","","B128","S Australia",-32.4,142.25
"434","xd421","drs",1,"gede1246","language","afro1255","family","","Ca15","Greater Abyssinia",6,38
"435","xd427","dsh",1,"daas1238","language","afro1255","family","","Ca20","Greater Abyssinia",5,36
"436","xd612","dta",1,"daur1238","language","mong1329","family","","Eb4","Inner Asia",49,125
"437","xd130","dua",1,"dual1243","language","atla1278","family","","Ae12","African Savannah",4,10
"438","xd100","dug",1,"duru1249","language","atla1278","family","","Ad31","S Africa",-4,39
"439","xd777","duj",1,"dhuw1249","language","pama1250","family","","Id2","N Australia",-12,136
"440","xd270","dya",1,"dyan1251","language","atla1278","family","","Ag33","African Savannah",11,-3
"441","xd254","dyo",1,"jola1263","language","atla1278","family","","Ag19","African Savannah",12.05,-16.2
"442","xd263","dyu",1,"dyul1238","language","mand1469","family","","Ag27","African Savannah",9,-4
"443","xd492","dzg",1,"daza1242","language","saha1256","family","","Cc14","African Savannah",17,18
"444","xd927","efe",1,"efee1239","language","cent2225","family","","B64","S Africa",2.7,27.64
"445","xd196","efi",1,"efik1245","language","atla1278","family","","Af19","African Savannah",5,8
"446","xd785","ekg",1,"ekar1243","language","nucl1709","family","","Ie1","Interior New Guinea",-4,136
"447","xd534","ell",1,"mode1248","language","indo1319","family","","Ce7","Europe",39,23
"448","xd1027","ems",1,"paci1278","language","eski1264","family","","Na10","Alaska-Oregon",60.27,-147
"449","xd538","eng",2,"stan1293","language","indo1319","family","","Cf3","Europe",-37.1,-12.1
"450","xd865","erg",1,"siee1239","language","aust1307","family","","Ih12","Oceania",-18.87,169.13
"451","xd1029","esi",4,"anak1241","dialect","eski1264","family","","Na12","Alaska-Oregon",68,-152
"452","xd1036","esi",4,"nort2944","dialect","eski1264","family","","Na2","Alaska-Oregon",71,-157
"453","xd1021","esi",4,"poin1245","dialect","eski1264","family","","B380","Alaska-Oregon",68.29,-166.12
"454","xd1020","esi",4,"poin1245","dialect","eski1264","family","","B379","N Coast Asia",63.49,-170.31
"455","xd1015","esk",3,"kobu1239","dialect","eski1264","family","","B370","Alaska-Oregon",66.95,-156.94
"456","xd1018","esk",3,"nort2945","language","eski1264","family","","B375","Alaska-Oregon",68.09,-160
"457","xd1016","esk",3,"kotz1238","dialect","eski1264","family","","B371","Alaska-Oregon",66.77,-161.53
"458","xd1028","ess",2,"aiwa1238","dialect","eski1264","family","","Na11","N Coast Asia",63.1,-170
"459","xd622","ess",2,"chap1266","dialect","eski1264","family","","ec14","N Coast Asia",64,173
"460","xd553","est",1,"esto1258","language","ural1272","family","","ch16","Inner Asia",59,26
"461","xd1000","esu",3,"kusk1241","dialect","eski1264","family","","B296","Alaska-Oregon",61.01,-161.55
"462","xd1014","esu",3,"kusk1241","dialect","eski1264","family","","B369","Alaska-Oregon",63.98,-160.75
"463","xd1064","esu",3,"kusk1241","dialect","eski1264","family","","Na6","Alaska-Oregon",60,-166
"464","xd204","ets",1,"yekh1238","language","atla1278","family","","Af26","African Savannah",7,6
"465","xd195","etu",1,"ejag1239","language","atla1278","family","","Af18","African Savannah",6,8
"466","xd624","evn",1,"even1259","language","tung1282","family","","ec16","Inner Asia",55,112
"467","xd215","ewe",2,"aguu1242","dialect","atla1278","family","","Af36","African Savannah",7,1
"468","xd274","ewe",2,"awun1244","dialect","atla1278","family","","Ag37","African Savannah",11,-2
"469","xd1102","eya",1,"eyak1241","language","atha1245","family","","Nb5","Alaska-Oregon",60,-145
"470","xd401","eyo",1,"keiy1238","language","nilo1247","family","","Aj25","S Africa",0,36
"471","xd149","fan",1,"fang1246","language","atla1278","family","","Ae3","S Africa",1,11
"472","xd867","fij",2,"bauu1243","dialect","aust1307","family","","Ih14","Oceania",-18,179
"473","xd874","fij",2,"nort2843","dialect","aust1307","family","","Ih8","Oceania",-17.6,178.4
"474","xd86","fip",1,"fipa1238","language","atla1278","family","","Ad19","S Africa",-8,31
"475","xd1144","fla",2,"kali1309","dialect","sali1255","family","","Nd12","Basin and Plains",46,-113
"476","xd1145","fla",2,"kali1309","dialect","sali1255","family","","Nd13","Basin and Plains",49,-117
"477","xd947","fln",1,"flin1247","language","pama1250","family","","B98","N Australia",-14.34,144.22
"478","xd171","fmp",1,"fefe1239","language","atla1278","family","","Ae5","African Savannah",5,10
"479","xd792","foi",1,"foii1241","language","east2499","family","","Ie16","Interior New Guinea",-6,143
"480","xd186","fon",1,"fonn1241","language","atla1278","family","","Af1","African Savannah",7,2
"481","xd809","for",1,"fore1270","language","nucl1709","family","","Ie31","Interior New Guinea",-6,145
"482","xd540","fra",1,"stan1290","language","indo1319","family","","Cf5","Europe",47,-72
"483","xd471","fub",1,"adam1253","language","atla1278","family","","Cb21","African Savannah",8,13
"484","xd473","fuc",1,"pula1263","language","atla1278","family","","Cb23","African Savannah",14.75,-14.25
"485","xd887","fud",1,"east2447","language","aust1307","family","","Ii8","Oceania",-14.2,-178.1
"486","xd294","fuf",1,"pula1262","language","atla1278","family","","Ag6","African Savannah",11,-13
"487","xd472","fuh",1,"west2454","language","atla1278","family","","Cb22","African Savannah",14,0
"488","xd348","fuj",1,"kooo1244","language","heib1242","family","","Ai2","African Savannah",11,31
"489","xd485","fuv",2,"boro1274","dialect","atla1278","family","","Cb8","African Savannah",13,5
"490","xd474","fuv",2,"boro1274","dialect","atla1278","family","","Cb24","African Savannah",12,12
"491","xd802","fuy",1,"fuyu1242","language","goil1242","family","","Ie25","S New Guinea",-8,147
"492","xd466","fvr",1,"furr1244","language","fura1235","family","","Cb17","African Savannah",12,24
"493","xd223","gaa",1,"gaaa1244","language","atla1278","family","","Af43","African Savannah",6,0
"494","xd554","gag",1,"gaga1249","language","turk1311","family","","ch17","Europe",45,29
"495","xd417","gax",1,"bora1271","language","afro1255","family","","Ca11","Greater Abyssinia",8,40
"496","xd419","gaz",1,"west2721","language","afro1255","family","","Ca13","Greater Abyssinia",9,37
"497","xd953","gbd",1,"kara1476","language","pama1250","family","","B104","N Australia",-19.17,121.46
"498","xd206","gby",1,"gbar1246","language","atla1278","family","","Af28","African Savannah",10,10
"499","xd327","gde",1,"gude1246","language","afro1255","family","","Ah36","African Savannah",10,13
"500","xd232","ggu",1,"gagu1242","language","mand1469","family","","Af51","African Savannah",7,-6
"501","xd950","gia",1,"kitj1240","language","jarr1235","family","","B101","N Australia",-16.91,127.83
"502","xd829","gil",2,"bana1287","dialect","aust1307","family","","If14","Oceania",3.1,173.1
"503","xd838","gil",2,"nuii1237","dialect","aust1307","family","","If7","Oceania",-2,174
"504","xd998","git",1,"gitx1241","language","tsim1258","family","","B293","Alaska-Oregon",55.65,-128.06
"505","xd637","gld",1,"nana1257","language","tung1282","family","","Ec9","N Coast Asia",47,132
"506","xd543","gle",1,"iris1253","language","indo1319","family","","Cg3","Europe",53,-9
"507","xd509","gnc",1,"guan1277","language","afro1255","family","","Cd11","N Africa",28,-16
"508","xd676","gno",1,"nort2702","language","drav1251","family","","Eg13","Indic",20,81
"509","xd233","goa",1,"guro1248","language","mand1469","family","","Af52","African Savannah",7,-6
"510","xd92","gog",1,"gogo1263","language","atla1278","family","","Ad24","S Africa",-7,36
"511","xd236","gol",1,"gola1255","language","atla1278","family","","Af55","African Savannah",7,-11
"512","xd457","gow",1,"goro1270","language","afro1255","family","","Ca9","S Africa",-4,36
"513","xd333","grh",1,"gbir1241","language","atla1278","family","","Ah6","African Savannah",10,8
"514","xd696","grt",1,"garo1247","language","sino1245","family","","Ei1","Indic",26,91
"515","xd1331","guc",1,"wayu1243","language","araw1281","family","","Sb6","NE South America",12,-72
"516","xd1347","guh",1,"guah1255","language","guah1252","family","","Sc4","NE South America",5,-69
"517","xd1394","gui",1,"east2555","language","tupi1275","family","","Sh7","SE South America",-20,-63
"518","xd671","guj",1,"guja1252","language","indo1319","family","","Ef9","Indic",20,77
"519","xd1408","gun",1,"mbya1239","language","tupi1275","family","","Sj10","SE South America",-26,-54
"520","xd939","gup",1,"gunw1252","language","gunw1250","family","","B84","N Australia",-12.43,134.12
"521","xd920","guq",1,"ache1246","language","tupi1275","family","","B47","SE South America",-25.7,-55.38
"522","xd247","gur",2,"nank1249","dialect","atla1278","family","","Ag12","African Savannah",10,-1
"523","xd277","gur",2,"taln1239","dialect","atla1278","family","","Ag4","African Savannah",11,-1
"524","xd1361","guu",1,"yano1261","language","yano1260","family","","Sd9","NE South America",2,-65
"525","xd283","gux",1,"gour1243","language","atla1278","family","","Ag45","African Savannah",12,2
"526","xd79","guz",1,"gusi1247","language","atla1278","family","","Ad12","S Africa",-1,35
"527","xd946","gvn",1,"kuku1273","language","pama1250","family","","B96","N Australia",-15.92,145.32
"528","xd1037","gwi",1,"gwic1235","language","atha1245","family","","Na20","Alaska-Oregon",66,-135
"529","xd932","gwj",1,"gwii1239","language","khoe1240","family","","B74","S Africa",-22.46,23.39
"530","xd952","gyd",1,"kaya1319","language","tang1340","family","","B103","N Australia",-16.94,139.28
"531","xd1314","gym",1,"ngab1239","language","chib1249","family","","Sa14","Mesoamerica",8,-81
"532","xd1008","haa",1,"hann1241","language","atha1245","family","","B351","Alaska-Oregon",64.79,-141.2
"533","xd132","haq",1,"haaa1252","language","atla1278","family","","Ae14","S Africa",-5,30
"534","xd1105","has",1,"hais1244","language","waka1280","family","","Nb8","Alaska-Oregon",54,-129
"535","xd1334","hat",1,"hait1244","language","indo1319","family","","Sb9","Mesoamerica",18.15,-72
"536","xd476","hau",4,"araw1280","dialect","afro1255","family","","Cb26","African Savannah",11,8
"537","xd486","hau",4,"kano1249","dialect","afro1255","family","","Cb9","African Savannah",12,9
"538","xd475","hau",4,"haus1257","language","afro1255","family","","Cb25","African Savannah",14,8
"539","xd458","hau",4,"kano1249","dialect","afro1255","family","","Cb1","African Savannah",12,10
"540","xd895","haw",1,"hawa1245","language","aust1307","family","","Ij6","Oceania",20,-155.9
"541","xd112","hay",1,"haya1250","language","atla1278","family","","Ad42","S Africa",-1.15,31.73
"542","xd602","haz",1,"haza1239","language","indo1319","family","","Ea3","Inner Asia",35,66
"543","xd1288","hch",1,"huic1243","language","utoa1244","family","","Ni3","Mesoamerica",23,-104
"544","xd1068","hdn",1,"nort2938","language","haid1248","family","","Nb1","Alaska-Oregon",54,-132
"545","xd589","heb",1,"hebr1245","language","afro1255","family","","Cj3","Greater Mesopotamia",32,35
"546","xd125","heh",1,"hehe1240","language","atla1278","family","","Ad8","S Africa",-8,35
"547","xd1083","hei",2,"bell1263","dialect","waka1280","family","","Nb23","Alaska-Oregon",52,-128
"548","xd10","her",1,"here1253","language","atla1278","family","","Ab1","S Africa",-21,16
"549","xd930","hgm",1,"haio1238","language","khoe1240","family","","B68","S Africa",-18.65,16.12
"550","xd1214","hid",1,"hida1246","language","siou1252","family","","Ne15","Basin and Plains",47,-101
"551","xd133","hke",1,"hund1239","language","atla1278","family","","Ae15","S Africa",-2,28
"552","xd480","hmb",1,"humb1243","language","song1307","family","","Cb3","African Savannah",17,-1
"553","xd685","hne",1,"chha1249","language","indo1319","family","","Eg9","Indic",22,81
"554","xd745","hnn",1,"hanu1241","language","aust1307","family","","Ia5","Oceania",13,121
"555","xd666","hoc",1,"hooo1248","language","aust1305","family","","Ef4","Indic",22,85
"556","xd1013","hoi",1,"holi1241","language","atha1245","family","","B364","Alaska-Oregon",63.33,-157.54
"557","xd1268","hop",1,"hopi1249","language","utoa1244","family","","Nh18","Basin and Plains",36,-111
"558","xd854","hrc",1,"tang1355","language","lowe1437","family","","Ig21","N Coast New Guinea",-4.3,153
"559","xd572","hun",1,"hung1274","language","ural1272","family","","Ch8","Europe",47,20
"560","xd1096","hup",1,"hupa1239","language","atha1245","family","","Nb35","California",41,-123
"561","xd1086","hur",3,"cowi1241","dialect","sali1255","family","","Nb26","Alaska-Oregon",49,-123
"562","xd1087","hur",3,"chil1281","dialect","sali1255","family","","Nb27","Alaska-Oregon",49,-122
"563","xd1297","hus",1,"huas1242","language","maya1287","family","","Nj11","Mesoamerica",22,-99
"564","xd1305","huv",1,"sanm1287","language","huav1256","family","","Nj6","Mesoamerica",16.215,-95.02
"565","xd328","hwo",1,"hwan1240","language","afro1255","family","","Ah37","African Savannah",10,13
"566","xd575","hye",1,"nucl1235","language","indo1319","family","","Ci10","Greater Mesopotamia",40,45
"567","xd813","ian",1,"iatm1242","language","nduu1242","family","","Ie35","N Coast New Guinea",-4,143
"568","xd750","iba",1,"iban1264","language","aust1307","family","","Ib1","Southeast Asia",2,112
"569","xd198","ibb",1,"ibib1240","language","atla1278","family","","Af20","African Savannah",5,8
"570","xd201","ibo",2,"afik1238","dialect","atla1278","family","","Af23","African Savannah",6,8
"571","xd187","ibo",2,"nucl1417","language","atla1278","family","","Af10","African Savannah",6,7
"572","xd314","ich",1,"etky1238","language","atla1278","family","","Ah24","African Savannah",7,10
"573","xd110","ida",1,"idak1243","language","atla1278","family","","Ad40","S Africa",0,35
"574","xd207","idu",1,"idom1241","language","atla1278","family","","Af29","African Savannah",7,8
"575","xd743","ifb",1,"bata1298","language","aust1307","family","","Ia3","Oceania",17,121
"576","xd213","ife",1,"ifee1241","language","atla1278","family","","Af34","African Savannah",7,5
"577","xd190","igb",1,"ebir1243","language","atla1278","family","","Af13","African Savannah",8,7
"578","xd209","igl",1,"igal1242","language","atla1278","family","","Af30","African Savannah",7,7
"579","xd199","ijn",1,"kala1381","language","ijoi1239","family","","Af21","African Savannah",4.55,6.65
"580","xd1030","ike",4,"baff1240","dialect","eski1264","family","","Na13","E North America",65.5,-64.95
"581","xd1039","ike",4,"labr1244","dialect","eski1264","family","","Na23","E North America",58,-65
"582","xd1017","ike",4,"queb1248","dialect","eski1264","family","","B373","E North America",55.32,-77.69
"583","xd1061","ike",4,"queb1248","dialect","eski1264","family","","Na44","E North America",62,-76
"584","xd1038","ikt",7,"cari1277","dialect","eski1264","family","","Na21","E North America",63,-96
"585","xd1024","ikt",7,"cari1277","dialect","eski1264","family","","B383","E North America",65.16,-88.12
"586","xd1022","ikt",7,"copp1244","dialect","eski1264","family","","Na3","Alaska-Oregon",69,-110
"587","xd1060","ikt",7,"nets1241","dialect","eski1264","family","","Na43","E North America",69,-96
