"13","Ab12","0","1","0","4","5","1","8","7","5","8","1","8","9","11","6","1","4","4","1","1","9","9","7","8","15","9","5","3","6","5","5","3","4","2","8","6","1","5","1","7","2","6","1","1","9","1","6","1","1","9","1","9","1","5","3","10","9","9","9","9","10","9","10","9","9","4","9","1","9","1","1","1","1","7","4","7","4","6","2","2","11","3","8","2","2","11","3","8","4","11","4","2","atla1278","S Africa"
"14","Ab13","0","1","0","4","5","1","8","4","4","9","1","8","9","11","2","9","1","1","1","1","6","9","10","1","8","1","5","3","6","8","7","3","3","4","8","2","7","5","1","7","2","6","4","1","9","1","6","9","2","9","1","9","1","5","3","10","9","3","10","9","10","9","10","9","9","3","4","3","9","1","1","1","1","7","4","7","4","3","2","2","9","4","8","2","1","10","3","8","5","11","3","1","atla1278","S Africa"
"15","Ab14","1","0","0","3","6","1","8","5","5","8","1","8","9","11","6","1","4","3","1","1","9","9","1","3","2","2","5","5","6","6","5","3","3","2","5","3","6","1","2","7","2","7","1","1","9","1","6","9","2","6","1","9","2","3","3","10","9","9","10","3","9","9","10","9","9","4","9","1","9","1","1","1","2","6","4","6","1","4","2","2","2","4","8","2","2","7","4","8","4","13","6","2","atla1278","S Africa"
"16","Ab15","0","1","0","3","6","1","8","5","5","9","1","8","9","11","6","1","4","4","1","1","9","9","6","4","5","2","5","3","6","7","4","3","3","2","6","4","6","2","1","7","2","6","1","1","9","1","6","1","1","9","1","9","1","5","3","10","9","9","10","9","10","9","10","9","9","2","9","1","9","1","1","1","1","7","4","7","4","2","2","2","9","4","8","2","2","1","4","8","4","11","8","1","atla1278","S Africa"
"20","Ab19","0","1","1","3","5","1","8","5","5","2","1","10","2","6","2","9","1","1","4","4","9","9","12","5","15","9","4","3","6","5","3","3","3","2","6","4","6","2","1","7","2","6","3","1","9","1","6","9","1","5","1","2","2","6","3","10","9","9","10","9","9","9","9","1","9","4","2","1","9","4","2","3","5","1","9","3","1","6","2","2","3","4","8","5","2","11","8","8","4","39","6","1","atla1278","S Africa"
"21","Ab2","1","1","0","2","6","1","8","8","4","8","1","8","2","6","6","2","4","4","1","1","9","9","1","3","15","9","5","3","6","6","6","3","4","1","6","6","6","2","2","7","2","6","1","1","9","1","6","9","4","6","1","9","1","5","3","10","9","9","10","9","9","9","10","9","9","4","9","1","9","1","1","1","1","7","4","7","4","4","2","2","11","3","8","2","2","2","4","8","3","13","6","2","atla1278","S Africa"
"26","Ab3","1","2","1","2","4","3","2","5","5","9","1","10","9","1","3","9","1","1","1","1","4","2","7","8","15","9","4","5","6","3","2","2","4","2","6","4","1","5","1","7","2","7","5","1","9","1","6","1","3","5","1","2","1","5","3","10","9","9","9","9","9","9","9","9","9","4","9","1","9","4","3","1","1","7","2","7","2","4","2","2","2","4","8","5","2","2","8","8","6","13","6","1","atla1278","S Africa"
"27","Ab4","0","1","1","3","5","1","8","8","4","8","1","8","9","11","6","1","4","3","1","1","9","9","12","5","15","9","6","3","6","7","2","2","3","4","8","5","6","3","1","7","2","6","1","1","9","9","6","1","1","6","1","1","1","5","3","10","10","9","9","9","9","9","9","9","9","4","9","1","9","1","1","1","2","1","9","7","1","6","2","2","2","4","8","5","2","2","8","8","5","12","6","2","atla1278","S Africa"
"28","Ab5","1","1","1","2","5","1","8","5","5","8","1","8","9","1","6","2","3","1","3","1","9","9","1","3","2","2","5","3","6","7","4","3","3","2","6","2","1","2","1","7","1","6","2","1","9","8","6","1","1","6","1","2","1","5","3","10","9","9","9","9","9","9","9","9","9","4","9","1","9","4","3","1","1","7","4","2","4","6","2","2","2","4","8","2","2","1","2","8","5","13","6","2","atla1278","S Africa"
"29","Ab6","1","1","0","2","6","1","8","8","4","8","1","8","9","11","2","9","4","3","3","1","9","9","1","3","2","2","5","5","6","7","4","3","3","3","8","6","7","4","1","7","2","7","2","1","8","8","6","9","3","5","1","9","1","5","3","9","9","3","10","9","9","9","10","9","9","4","9","1","9","2","2","1","1","1","9","7","4","4","2","2","2","4","8","2","2","8","4","8","5","13","6","2","atla1278","S Africa"
