l1,l2,local_alignment,comparison_count
sq,he,0.1975582934547624,1030
et,sq,0.19779258617151832,1092
hu,is,0.1978391743649323,1106
de,eu,0.1979023508508007,451
is,es,0.19979396676942984,1042
lt,he,0.19983138971447384,1089
pt,eu,0.2001000695859272,1062
lt,fr,0.20044556048398274,1200
is,de,0.20102089388234093,464
el,uk,0.20150323543914853,934
lt,en,0.20160266520299208,1019
fi,lv,0.2017029526828088,723
sq,fr,0.2018084197477835,1143
sq,nl,0.20203874671094646,1155
et,eu,0.20216129504085978,982
lt,ro,0.20256322615066075,1256
fa,ca,0.2027153867494472,844
sk,is,0.20275124441319997,1014
bg,is,0.2031630143023557,1044
nl,eu,0.20351509706669157,1056
ca,pt,0.2041299358861869,1050
ca,it,0.20423439867606188,957
lv,hu,0.20444383123537188,729
el,is,0.2045892309841223,977
sq,tr,0.20466866249732316,1170
sq,pt,0.20482794623376077,1161
fa,is,0.20500504590003907,840
lv,lt,0.2054541908818071,666
fr,ca,0.20553210451687587,1028
sq,it,0.20562164594703475,1083
fi,sq,0.2058013362210544,1168
lv,es,0.20616076587286852,692
ru,ca,0.20641606198759646,885
pl,is,0.20670528857783516,962
sk,ca,0.20672757127144858,984
en,eu,0.20699509477909603,874
lt,pt,0.2072635753259138,1232
sq,ro,0.20766895232252794,1194
pl,ca,0.2083065143462825,933
lt,it,0.2084920831392235,1159
is,ar,0.20878342581462805,985
no,fr,0.2094923905029836,1179
no,ro,0.21003272035201043,1220
ca,ar,0.21021014885879338,959
et,lv,0.21052815463376165,706
lv,bg,0.21067214626025113,712
lt,sv,0.21126010643054868,1170
el,ca,0.21180471986077218,943
da,fr,0.21230189583746426,1147
hu,ca,0.21237823387585605,1054
lt,tr,0.21240888672564506,1219
de,ca,0.21254861475135164,410
pl,eu,0.21339488140593676,959
fi,eu,0.21390297597863023,1053
sq,en,0.21390913200109568,967
et,lt,0.2139719735108612,1161
hr,ca,0.2140455964929303,1035
bg,eu,0.21420755611742162,1036
fa,lt,0.214475822979924,973
tr,eu,0.21480922766592783,1062
ru,eu,0.21617561026023382,930
lt,nl,0.21641989247211046,1235
sk,eu,0.2169653313294861,1014
sq,pl,0.21713854866187599,1070
no,it,0.2180203919244915,1110
fi,lt,0.2183280756082739,1248
no,tr,0.21839359393330418,1186
da,ro,0.21842512997289676,1190
sq,ru,0.21856113942051594,1033
lv,sk,0.21878604104081792,703
el,eu,0.21913018488993685,993
bg,ca,0.2191614111261068,999
cs,is,0.2195062882577133,985
bg,uk,0.21970924849768417,976
lv,el,0.21971010052935638,681
hr,is,0.22049625339286466,1073
es,eu,0.22142398242721995,1044
lv,hr,0.22165325976829114,728
lt,es,0.2219024480513999,1220
lv,pl,0.22199061103897882,690
da,it,0.2226761673145442,1082
et,da,0.22329299613442777,1094
sq,sk,0.22375379890875294,1129
hu,eu,0.22419407274627212,1113
fr,ro,0.22439334612630446,1356
fa,eu,0.22450954570827794,876
no,nl,0.22451512642472324,1193
eu,ar,0.225002145980334,975
hu,sq,0.2251480362979041,1225
fa,sq,0.2251782377030184,969
hr,eu,0.22518661338233395,1062
et,no,0.2254537410475265,1120
sq,bg,0.22552711495014,1153
cs,ca,0.22589804899337218,947
nl,ro,0.22700852836610136,1354
lt,ar,0.22711900593217169,1151
it,ro,0.22744783111783126,1279
el,lt,0.2274737994682331,1156
sk,lt,0.22780945292780536,1200
sq,de,0.22898337543868197,490
sq,es,0.2304237092462787,1159
da,nl,0.2310913352897224,1156
da,he,0.23113250250396714,1015
da,tr,0.23190752170132695,1158
pt,ro,0.23194260004891984,1387
da,pt,0.23243744264491356,1152
lv,ru,0.2326768718850346,723
no,pt,0.23276844284622786,1199
hr,uk,0.2328991586969252,1016
nl,fr,0.23412261603945023,1286
lv,ar,0.23441627735208073,691
no,he,0.2349270359701725,1048
lv,cs,0.23496436070614507,703
cs,eu,0.23533635539485376,968
pl,lt,0.23584324117496983,1125
hu,no,0.23586414380289017,1255
sv,ro,0.2359529881447192,1283
sq,ar,0.23677833391279882,1096
nl,it,0.2369360265061349,1225
ru,no,0.2371484451187334,1056
fr,pt,0.23722688801966368,1365
sv,fr,0.23760512079111915,1242
hr,lt,0.23774451723982218,1259
hu,lt,0.23812600261917746,1309
sq,cs,0.23835905121157644,1087
ru,lt,0.23911711847689937,1085
hu,da,0.23945391553411646,1230
ro,he,0.239741482036633,1178
sv,nl,0.23998060387189538,1253
el,sq,0.24053145286243569,1091
fi,ro,0.24071585373179338,1350
fa,da,0.24074121970763185,908
fr,he,0.24153881881252395,1133
ru,da,0.24220168808258705,1028
nl,pt,0.24230290867125304,1312
bg,lt,0.24252328847015137,1215
pl,uk,0.24273292751830972,916
sk,no,0.24279985788931813,1139
fi,no,0.24287783274221253,1208
de,ro,0.24308694087499935,565
fi,da,0.24310081519318708,1179
bg,da,0.243795080972948,1150
sk,uk,0.24384056989585773,960
ca,es,0.2441917062277916,1035
ro,tr,0.24443261853232953,1350
fi,it,0.24459267194429538,1254
sv,it,0.24464975209501763,1180
fa,no,0.2448835137745062,933
sq,hr,0.24511610958588104,1199
pl,no,0.24523408891718215,1099
sv,tr,0.24539859496485744,1239
cs,uk,0.2459878758668435,918
et,fr,0.2460945497846843,1202
fr,it,0.24675439337162375,1261
et,ro,0.24722462758087396,1253
fi,nl,0.24724376706416112,1322
nl,tr,0.24731410085404043,1306
no,es,0.2475860159597134,1178
bg,no,0.24767010485935653,1183
cs,lt,0.2481038227344101,1138
pt,tr,0.2483061713911751,1318
sk,da,0.248871925943088,1116
pt,it,0.24940199290090637,1278
hu,ro,0.25003493918082215,1416
pt,he,0.2502582244071947,1161
fr,tr,0.251028400651764,1293
pl,da,0.2510857636869112,1071
fi,fr,0.25114276875921715,1301
et,sv,0.2511657152288446,1177
et,it,0.25155498219366657,1146
