,l1,l2,local_alignment,comparison_count
309,kn,lez,0.11633923421076703,424
310,mrj,ga,0.11636742270557708,495
311,mrj,zh,0.11636804750574274,461
312,udm,ga,0.11665883713040003,459
313,ta,ce,0.11714403676678257,518
314,cv,ce,0.11721700679697675,246
315,mdf,cv,0.11789303741103906,114
316,mdf,ru,0.11801072252469334,270
317,vep,uz,0.1180873642110866,242
318,mrj,av,0.11809335340878835,272
319,udm,bn,0.11814282128060526,361
320,myv,ba,0.11820013713265339,460
321,cy,ce,0.1183151521677747,689
322,is,ce,0.11846744715900291,693
323,ku,ja,0.11869321715594823,589
324,mdf,sv,0.11876240804743678,297
325,br,sah,0.11893100874033141,563
326,bn,av,0.11951957210589066,297
327,la,sah,0.11986704756907182,706
328,os,ja,0.11996369004126288,342
329,cv,sah,0.11997220477847229,245
330,mrj,uz,0.1201166039436147,302
331,mrj,ab,0.1203412672588936,103
332,ku,ga,0.12040828485294663,666
333,mdf,fa,0.1204549120879403,289
334,mrj,sah,0.12060866340658559,415
335,vep,ja,0.1207162639944847,345
336,ko,ce,0.12081979007769786,560
337,bn,sah,0.121349461009713,545
338,fr,lbe,0.12135799149386159,175
339,et,mdf,0.12164846759426524,295
340,sv,ab,0.12165153983970747,136
341,udm,ce,0.12166624085105754,384
342,ab,lez,0.12169837721797937,105
343,vep,lez,0.12171550840865082,298
344,fi,mdf,0.12177867543765063,311
345,ps,ga,0.12177887082562602,711
346,mdf,av,0.12193333047907781,169
347,lez,ce,0.12231201451179381,422
348,vep,os,0.12276927009118596,204
349,mrj,ta,0.12278001301111414,371
350,udm,uz,0.12282179799793481,289
351,mrj,cy,0.12284150495421726,469
352,ku,ce,0.12297338303986488,512
353,ga,zh,0.12305721538317907,847
354,ps,ce,0.12310970681244737,533
355,udm,ta,0.12333007572048109,362
356,ce,he,0.12368921706023553,715
357,vep,ga,0.12372170106179957,401
358,ps,lez,0.12398531559648619,471
359,mhr,ja,0.12410915498585516,139
360,hr,lbe,0.12418256463990537,177
361,udm,ps,0.12433823621221105,403
362,br,ce,0.12478641444482515,537
363,et,ab,0.12482595338699357,133
364,mdf,lt,0.1248433475416272,300
365,kv,cy,0.12495524251924696,329
366,tt,ce,0.1249875017215395,677
367,kv,av,0.1250785960966449,195
368,az,ab,0.12530877686961792,132
369,la,zh,0.12537319957291526,860
370,mdf,uk,0.12543901262789453,273
371,cy,lez,0.12553767009282155,489
372,bn,ce,0.12570828748363055,496
373,ku,cv,0.12574411054569265,233
374,av,ce,0.12576555992809624,311
375,myv,kv,0.12576938365484586,226
376,myv,la,0.1259238246391957,468
377,os,kn,0.12609308419994128,324
378,mrj,ps,0.12628487206849792,428
379,mrj,ku,0.12638774199372838,392
380,myv,sv,0.12643486311014587,501
381,fi,ab,0.1266214374967174,147
382,udm,ku,0.1267357894620221,373
383,udm,kv,0.12675748335309955,228
384,mdf,hu,0.12687976820249147,307
385,kv,he,0.1269359256490103,342
386,os,cy,0.1270757759033743,375
387,mn,ce,0.1273448368222342,754
388,myv,mn,0.1276850319456786,551
389,mdf,eu,0.12779299728164173,306
390,vep,udm,0.12814948597430567,280
391,en,cv,0.1281742051862525,283
392,myv,lv,0.12819285651304416,463
393,mdf,es,0.12831641757505824,296
394,myv,sq,0.12837613478694787,476
395,kv,tt,0.12844504598674736,340
396,de,lbe,0.12849147762971852,50
397,cs,ab,0.1293311127440414,138
398,mdf,sk,0.12961091207327058,310
399,mdf,ar,0.12969088315544416,285
400,ba,ja,0.1297988812027079,741
401,cy,sah,0.13012593983177054,690
402,cy,av,0.13030205303158607,382
403,myv,ar,0.13043183149716128,481
404,myv,ml,0.13059330362046911,413
405,myv,no,0.13062739961158007,475
406,os,ta,0.13079358310283468,309
407,vep,ps,0.13081246823653153,355
408,mdf,be,0.13101902467486953,281
409,ko,lez,0.13136474922069605,422
410,vep,mrj,0.1315304938048141,291
411,myv,da,0.13165224903667275,465
412,bn,lez,0.13173769935833957,393
413,udm,tt,0.1318205202527778,469
414,mdf,hr,0.13185130979886686,331
415,udm,ko,0.1321452565259886,388
416,mrj,ko,0.13218871645296593,423
417,myv,en,0.1323245289777729,443
418,vep,kn,0.13241372764835396,330
419,mdf,cs,0.13265063589466536,292
420,is,ga,0.1327242945410095,885
421,uz,av,0.13293855594670956,233
422,mrj,he,0.13294002191618495,491
423,te,ce,0.13305391006758444,505
424,ku,lez,0.13330037451810461,426
425,hy,ab,0.13334943779155714,134
426,cv,ta,0.13345992961648928,227
427,mdf,hi,0.13367758413197248,345
428,br,av,0.13423339194114595,321
429,udm,lez,0.13427794714775332,346
430,kv,is,0.1343020720430089,342
431,mdf,fr,0.13430357590873557,304
432,ps,cy,0.13453268533657461,685
433,udm,mn,0.13468732718329124,528
434,udm,he,0.13469507175866782,455
435,ps,os,0.13480665530746846,359
436,sah,mn,0.13483354339808562,801
437,cy,la,0.13503851777141904,904
438,udm,is,0.13548673631929065,453
439,sah,ta,0.1355677738574282,559
440,os,ga,0.13559686519271497,399
441,hi,ab,0.1356719319776354,167
442,myv,az,0.13574650635118668,483
443,udm,br,0.13581006446853336,378
444,br,cv,0.13581607380468566,233
445,uz,lez,0.13610591316860438,311
446,ba,zh,0.13626103437510903,806
447,kv,ku,0.13645325407783684,278
448,uk,ab,0.1364650369550849,128
449,tt,sah,0.13650922368807597,702
450,uz,sah,0.13665744232285537,440
451,os,he,0.13686712907427767,393
452,kv,ko,0.1369214924003811,292
453,mdf,it,0.1371829050154318,301
454,de,cv,0.1372854937157474,145
455,ga,ba,0.1374063226664531,829
456,te,av,0.13745046026336072,315
457,mn,av,0.13749394576551213,452
458,cv,mn,0.13756402083485297,326
459,ga,la,0.13767577984776105,872
460,la,ja,0.13773074682531397,791
461,ku,he,0.13797861981033677,661
462,sah,te,0.13855129047027778,524
463,lez,he,0.13866186452026857,508
464,ga,tt,0.13904467498063733,868
465,sah,kn,0.1393989079909156,595
466,sah,he,0.13948977791068365,706
467,ja,kn,0.13957354074941059,648
468,sq,ce,0.13968272860465283,686
469,mrj,br,0.13970503079528485,403
470,mrj,te,0.13988988153179732,364
471,fr,ab,0.13994309345616981,148
472,ps,av,0.13994670434396136,358
473,udm,en,0.1399591749945035,435
474,br,lez,0.13999251894531756,418
475,mdf,pl,0.14057250383411762,281
476,ku,cy,0.14074295273509588,656
477,ps,uz,0.14079586260454774,436
478,udm,av,0.14089506195850068,255
479,la,ko,0.140895426537837,720
480,cy,zh,0.14112216102680672,897
481,cv,te,0.14114111251810177,230
482,myv,nl,0.14135926932225354,538
483,kv,br,0.14138346048495795,281
484,ba,ce,0.1414962563917621,644
485,vep,ku,0.1416074055551001,312
486,mrj,is,0.14161039224025762,491
487,myv,eu,0.14170459848114278,522
488,ku,av,0.14170998731620965,328
489,ps,ku,0.14197988057513597,555
490,ga,he,0.14210761331077942,898
491,vep,av,0.14219790916520939,234
492,udm,sv,0.14225418697572506,501
493,ku,kn,0.1424065823861621,555
494,ps,kn,0.14248688072219937,593
495,vep,bn,0.1426608613810255,309
496,cv,ml,0.14277035517599548,253
497,en,ce,0.1428585740514969,675
498,myv,ro,0.14286027244598584,546
499,sq,sah,0.1429496502485634,707
500,vep,cy,0.14306030580009477,381
501,se,zh,0.14307625944055316,96
502,ta,lez,0.14316577248301132,392
503,bn,ku,0.14321024169543278,502
504,ku,la,0.1433546619907544,651
505,hr,ab,0.14338733758143293,150
506,mrj,en,0.14339977344326307,464
507,ps,cv,0.14340036807601264,246
508,av,lez,0.143491730223923,286
509,udm,lv,0.14352831337822924,421
510,myv,kk,0.14357129821995757,511
511,lt,ab,0.14377500067495394,150
512,is,la,0.14398190501573419,899
513,ku,ko,0.14410609905026023,550
514,udm,te,0.14416100332746665,346
515,mdf,ca,0.14418011988329404,249
516,ku,os,0.14419017335805095,307
517,ko,av,0.14425162460943208,326
518,ga,ko,0.14445349716530284,727
519,ml,ce,0.144721488243487,553
520,ru,ab,0.1450022009394371,132
521,sah,ml,0.14502448980499824,601
522,la,ba,0.1450456205139708,821
523,os,sah,0.14506673116417043,338
524,ps,he,0.14509688115915767,703
525,av,he,0.14516843652061703,390
526,myv,ka,0.1452824399999808,505
527,la,he,0.14529370352003657,918
528,av,lbe,0.14534990742168843,114
529,bn,ga,0.1454304332138044,662
530,os,lez,0.14550783133012837,275
531,la,lez,0.1460511655033349,515
532,la,mn,0.1461110581573229,1005
533,udm,no,0.14620865332948838,487
534,sk,ab,0.1463794548833737,144
535,az,cv,0.14642214342226637,293
536,os,ko,0.14642466137098753,328
537,vep,ko,0.14644600787546422,335
538,mdf,tr,0.14646462529802765,324
539,is,zh,0.1465769198415972,897
540,pl,ab,0.14663684417591838,137
541,mn,lez,0.1467307522528631,580
542,mrj,la,0.1467915556191177,491
543,mhr,en,0.14697216817942882,133
544,mrj,sv,0.1471075164128656,532
545,el,cv,0.14713000360365266,295
546,br,zh,0.1472411278901994,700
547,el,ce,0.14744595709048583,659
548,ps,br,0.14745841764633763,560
549,te,zh,0.14756853970911846,640
550,udm,sq,0.14780703217204164,472
551,ga,te,0.14783804335138886,641
552,bn,os,0.14784521539380974,309
553,te,lez,0.14792581679367067,392
554,ce,ar,0.14814017908922017,755
555,cy,tt,0.14815130705246746,877
556,tt,av,0.14830246686632118,398
557,os,tt,0.1483038253107519,406
558,kv,ba,0.1483402094189849,334
559,tt,lez,0.14841373434473337,512
560,el,ab,0.14845716880781593,131
561,cv,he,0.14852201313654315,304
562,kv,sq,0.1486719206809176,351
563,mdf,os,0.14879906228764286,147
564,mn,zh,0.14880983587536176,973
565,myv,ru,0.14881894608401772,462
566,mrj,no,0.14911118461793907,510
567,is,ja,0.1493316302070297,821
568,kv,en,0.14933246296904834,325
569,ga,kn,0.14945597513282008,733
570,udm,ar,0.1494654121469635,487
571,vep,te,0.14963075159370404,318
572,vep,br,0.14963196670734225,312
573,myv,fa,0.1496382598257067,524
574,cy,ja,0.14968303428611723,833
575,mhr,az,0.14999436748682257,143
576,ps,ta,0.1501092333060374,550
577,la,ab,0.15020509224142203,132
578,tt,ja,0.1502169424155963,794
579,ml,zh,0.15038151535949862,701
580,uz,ja,0.15058138013611255,434
581,et,ce,0.15072544988110426,727
582,az,ce,0.15092115200654438,683
583,kn,zh,0.15097719357276568,691
584,myv,bg,0.15105182886371807,530
585,myv,hy,0.15108853240240763,470
586,udm,da,0.15115374318903732,472
587,ps,is,0.15138050321945495,709
588,ku,tt,0.1514185355935928,661
589,br,ja,0.15142237683295232,644
590,ga,ta,0.1514244283626275,689
591,la,tt,0.15150993806962307,865
592,no,ce,0.15164962831238676,734
593,cy,ba,0.15188993229707534,835
594,sq,ga,0.1519576609757975,888
595,myv,ca,0.15195799121408185,450
596,is,cy,0.15213568309922806,922
597,ka,ce,0.15226117117057314,691
598,mrj,tt,0.15258995445679674,493
599,udm,nl,0.15267197958514436,537
600,ku,uz,0.15275295858510385,384
601,ku,te,0.15282830763379038,495
602,kv,os,0.15304699043090653,184
603,kv,ar,0.15321133022137598,365
604,os,uz,0.15329160274012768,249
605,vep,ta,0.15329387047157544,305
606,ba,sah,0.15339899768653248,655
607,os,en,0.15352887452957378,366
608,da,ce,0.15361315143286305,717
609,ta,zh,0.15377897469249918,671
610,bn,ps,0.15390077442592118,547
611,ga,cy,0.15410930298624992,906
612,la,kn,0.1543232637425487,706
613,mrj,da,0.15459696211789392,499
614,kv,mn,0.15463946789993252,388
615,ja,te,0.15471911197313043,609
616,mn,ja,0.15514177396542292,892
617,lv,av,0.1552396550615005,328
618,en,lez,0.15530300925722695,478
619,ku,br,0.155304672780566,527
620,ps,la,0.1553878737032856,691
621,myv,be,0.1554144837290422,476
622,et,myv,0.15549157261799812,496
623,ku,mn,0.15554087935131572,733
624,ku,ta,0.1557012357748776,518
625,ba,lez,0.1559029264592349,498
626,en,av,0.15590586511617985,357
627,ga,mn,0.15593419725133156,982
628,kv,lv,0.1559503037287984,338
629,ps,mn,0.15596005007355987,800
630,udm,os,0.15612855722308394,245
631,myv,hr,0.1562715682174209,550
632,mrj,mn,0.15645665646697046,553
633,ps,te,0.15652630259816241,538
634,udm,la,0.15659234147704507,466
635,ps,ko,0.15664555592354784,576
636,be,ce,0.15679715090317997,678
637,mrj,os,0.1568127098518208,254
638,sq,av,0.15690611152443282,407
639,ga,br,0.15728054158491275,722
640,is,lez,0.15748732431036785,510
641,myv,pt,0.1575522481949356,527
642,kv,da,0.1576007080366018,347
643,cy,ko,0.15763624700339177,723
644,myv,de,0.15764701595405278,205
645,os,br,0.1576664302081472,314
646,tr,ab,0.15767453107302049,151
