,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
933,933,ital1282,abkh1244,18,432688,931,432915,it,ab
934,934,ital1282,hebr1245,20,451575,951,451725,it,he
935,935,ital1282,mand1415,14,446786,946,446985,it,zh
936,936,stan1290,stan1288,49,451557,951,451725,fr,es
937,937,stan1290,stan1289,41,451556,951,451725,fr,ca
938,938,stan1290,port1283,52,451554,951,451725,fr,pt
939,939,stan1290,roma1327,45,451524,951,451725,fr,ro
940,940,stan1290,iris1253,34,449507,949,449826,fr,ga
941,941,stan1290,wels1247,32,451492,951,451725,fr,cy
942,942,stan1290,bret1244,41,438305,937,438516,fr,br
943,943,stan1290,dani1285,18,450567,950,450775,fr,da
944,944,stan1290,swed1254,14,451519,951,451725,fr,sv
945,945,stan1290,stan1293,11,451505,951,451725,fr,en
946,946,stan1290,dutc1256,23,451522,951,451725,fr,nl
947,947,stan1290,stan1295,15,451552,951,451725,fr,de
948,948,stan1290,lith1251,21,451504,951,451725,fr,lt
949,949,stan1290,latv1249,19,451537,951,451725,fr,lv
950,950,stan1290,bulg1262,27,449613,949,449826,fr,bg
951,951,stan1290,czec1258,17,451537,951,451725,fr,cs
952,952,stan1290,poli1260,23,451528,951,451725,fr,pl
953,953,stan1290,russ1263,12,451546,951,451725,fr,ru
954,954,stan1290,west2369,22,451484,951,451725,fr,fa
955,955,stan1290,basq1248,33,451492,951,451725,fr,eu
956,956,stan1290,beng1280,14,451494,951,451725,fr,bn
957,957,stan1290,tami1289,15,451530,951,451725,fr,ta
958,958,stan1290,telu1262,27,451450,951,451725,fr,te
959,959,stan1290,veps1250,23,451501,951,451725,fr,vep
960,960,stan1290,west2392,21,447676,947,447931,fr,mrj
961,961,stan1290,moks1248,25,450522,950,450775,fr,mdf
962,962,stan1290,nort2641,15,451472,951,451725,fr,ku
963,963,stan1290,nucl1235,12,450589,950,450775,fr,hy
964,964,stan1290,croa1245,19,450593,950,450775,fr,hr
965,965,stan1290,slov1268,7,450603,950,450775,fr,sl
966,966,stan1290,slov1269,20,451543,951,451725,fr,sk
967,967,stan1290,ukra1253,8,451559,951,451725,fr,uk
968,968,stan1290,bela1254,7,451555,951,451725,fr,be
969,969,stan1290,icel1247,17,451535,951,451725,fr,is
970,970,stan1290,norw1258,14,450583,950,450775,fr,no
971,971,stan1290,nucl1301,25,451493,951,451725,fr,tr
972,972,stan1290,kaza1248,12,451504,951,451725,fr,kk
973,973,stan1290,bash1264,30,451492,951,451725,fr,ba
974,974,stan1290,tata1255,26,451491,951,451725,fr,tt
975,975,stan1290,chuv1255,19,450490,950,450775,fr,cv
976,976,stan1290,yaku1245,27,451429,951,451725,fr,sah
977,977,stan1290,kalm1243,17,450551,950,450775,fr,xal
978,978,stan1290,kore1280,9,442079,941,442270,fr,ko
979,979,stan1290,nucl1643,15,451477,951,451725,fr,ja
980,980,stan1290,nucl1305,7,451523,951,451725,fr,kn
