Longitude,Latitude,Time,Precipitation
171.25E,86.25S,Jan 1960,13.36762
173.75E,86.25S,Jan 1960,13.70145
176.25E,86.25S,Jan 1960,13.95597
178.75E,86.25S,Jan 1960,14.00441
178.75W,86.25S,Jan 1960,13.91035
176.25W,86.25S,Jan 1960,13.82435
173.75W,86.25S,Jan 1960,13.85899
171.25W,86.25S,Jan 1960,14.01509
168.75W,86.25S,Jan 1960,13.91942
166.25W,86.25S,Jan 1960,13.15742
163.75W,86.25S,Jan 1960,12.30214
161.25W,86.25S,Jan 1960,12.21158
158.75W,86.25S,Jan 1960,12.7576
156.25W,86.25S,Jan 1960,13.48817
153.75W,86.25S,Jan 1960,13.98081
151.25W,86.25S,Jan 1960,13.99385
148.75W,86.25S,Jan 1960,13.91446
146.25W,86.25S,Jan 1960,13.96568
143.75W,86.25S,Jan 1960,14.06692
141.25W,86.25S,Jan 1960,14.30891
138.75W,86.25S,Jan 1960,14.56647
136.25W,86.25S,Jan 1960,14.64794
133.75W,86.25S,Jan 1960,14.68916
131.25W,86.25S,Jan 1960,14.98191
128.75W,86.25S,Jan 1960,15.49479
126.25W,86.25S,Jan 1960,15.85632
123.75W,86.25S,Jan 1960,15.9031
121.25W,86.25S,Jan 1960,15.73681
118.75W,86.25S,Jan 1960,15.69218
116.25W,86.25S,Jan 1960,15.97743
113.75W,86.25S,Jan 1960,16.30198
111.25W,86.25S,Jan 1960,16.37474
108.75W,86.25S,Jan 1960,16.27407
106.25W,86.25S,Jan 1960,16.18411
103.75W,86.25S,Jan 1960,16.07964
101.25W,86.25S,Jan 1960,15.94913
98.75W,86.25S,Jan 1960,15.91413
96.25W,86.25S,Jan 1960,16.0392
93.75W,86.25S,Jan 1960,16.09463
91.25W,86.25S,Jan 1960,15.74848
88.75W,86.25S,Jan 1960,15.31172
86.25W,86.25S,Jan 1960,15.11631
83.75W,86.25S,Jan 1960,15.04201
81.25W,86.25S,Jan 1960,15.08853
78.75W,86.25S,Jan 1960,15.19436
76.25W,86.25S,Jan 1960,15.32105
73.75W,86.25S,Jan 1960,15.51033
71.25W,86.25S,Jan 1960,15.69483
68.75W,86.25S,Jan 1960,15.90837
66.25W,86.25S,Jan 1960,16.21486
63.75W,86.25S,Jan 1960,16.55053
61.25W,86.25S,Jan 1960,16.83564
58.75W,86.25S,Jan 1960,16.92624
56.25W,86.25S,Jan 1960,16.75403
53.75W,86.25S,Jan 1960,16.60455
51.25W,86.25S,Jan 1960,16.56321
48.75W,86.25S,Jan 1960,16.38728
46.25W,86.25S,Jan 1960,16.10231
43.75W,86.25S,Jan 1960,15.75378
41.25W,86.25S,Jan 1960,15.32956
38.75W,86.25S,Jan 1960,15.0761
36.25W,86.25S,Jan 1960,14.97959
33.75W,86.25S,Jan 1960,14.75029
31.25W,86.25S,Jan 1960,14.44392
28.75W,86.25S,Jan 1960,14.08961
26.25W,86.25S,Jan 1960,13.69157
23.75W,86.25S,Jan 1960,13.35821
21.25W,86.25S,Jan 1960,12.9452
18.75W,86.25S,Jan 1960,12.35779
16.25W,86.25S,Jan 1960,11.81
13.75W,86.25S,Jan 1960,11.52913
11.25W,86.25S,Jan 1960,11.4633
8.75W,86.25S,Jan 1960,11.46315
6.25W,86.25S,Jan 1960,11.39081
3.75W,86.25S,Jan 1960,11.33764
1.25W,86.25S,Jan 1960,11.39756
1.25E,83.75S,Jan 1960,12.7067
3.75E,83.75S,Jan 1960,12.48049
6.25E,83.75S,Jan 1960,12.3303
8.75E,83.75S,Jan 1960,12.24146
11.25E,83.75S,Jan 1960,11.93094
13.75E,83.75S,Jan 1960,11.08809
16.25E,83.75S,Jan 1960,10.02895
18.75E,83.75S,Jan 1960,9.405404
21.25E,83.75S,Jan 1960,9.15295
23.75E,83.75S,Jan 1960,8.892647
26.25E,83.75S,Jan 1960,8.466332
28.75E,83.75S,Jan 1960,7.983844
31.25E,83.75S,Jan 1960,7.653544
33.75E,83.75S,Jan 1960,7.612647
36.25E,83.75S,Jan 1960,7.95637
38.75E,83.75S,Jan 1960,8.345352
41.25E,83.75S,Jan 1960,8.336178
43.75E,83.75S,Jan 1960,8.210662
46.25E,83.75S,Jan 1960,8.249869
48.75E,83.75S,Jan 1960,8.231987
51.25E,83.75S,Jan 1960,8.013094
53.75E,83.75S,Jan 1960,7.653474
56.25E,83.75S,Jan 1960,7.297117
58.75E,83.75S,Jan 1960,7.054949
61.25E,83.75S,Jan 1960,6.942846
63.75E,83.75S,Jan 1960,6.905652
66.25E,83.75S,Jan 1960,6.828449
68.75E,83.75S,Jan 1960,6.685215
71.25E,83.75S,Jan 1960,6.609353
73.75E,83.75S,Jan 1960,6.77379
76.25E,83.75S,Jan 1960,7.086641
78.75E,83.75S,Jan 1960,7.242834
81.25E,83.75S,Jan 1960,7.217879
83.75E,83.75S,Jan 1960,7.074507
86.25E,83.75S,Jan 1960,6.883453
88.75E,83.75S,Jan 1960,6.875004
91.25E,83.75S,Jan 1960,6.934352
93.75E,83.75S,Jan 1960,6.842223
96.25E,83.75S,Jan 1960,6.715406
98.75E,83.75S,Jan 1960,6.727757
101.25E,83.75S,Jan 1960,6.821739
103.75E,83.75S,Jan 1960,6.847033
106.25E,83.75S,Jan 1960,6.956687
108.75E,83.75S,Jan 1960,7.205109
111.25E,83.75S,Jan 1960,7.308662
113.75E,83.75S,Jan 1960,7.288163
116.25E,83.75S,Jan 1960,7.387104
118.75E,83.75S,Jan 1960,7.761934
121.25E,83.75S,Jan 1960,8.346179
