,l1,l2,Word_Form_l1,Word_Form_l2,local_alignment,global_alignment,neighbour_overlap,global_density_l1,global_density_l2,local_density_l1,local_density_l2,editdistance,k,n,Language_ID_l1,Glottocode_l1,Concept_ID,rawIPA_l1,IPA_l1,ASJP_l1,List_l1,Dolgo_l1,Next_Step_l1,IDS_SEMANTICFIELD_l1,Language_Family_l1,zipffreq_l1,Language_ID_l2,Glottocode_l2,rawIPA_l2,IPA_l2,ASJP_l2,List_l2,Dolgo_l2,Next_Step_l2,IDS_SEMANTICFIELD_l2,Language_Family_l2,zipffreq_l2
750,da,en,vest,west,0.4692331818081222,0.924435626740834,45.0,0.1472532382346065,0.15637713771557704,3010.739708944765,3197.286957732689,1,100,20446,dan,dani1285,Westen::N,vɛsd,v ɛ s d,vEsd,BEST,WVST,validate,Spatial relations,Indo-European,4.77,eng,stan1293,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29
766,da,en,syd,south,0.4819938078890607,0.9261474222034124,46.0,0.15102239242342594,0.15295274995954716,3087.803835489367,3127.271925672901,4,100,20446,dan,dani1285,Süden::N,syð,s y ð,si8,SYD,SVT,validate,Spatial relations,Indo-European,4.77,eng,stan1293,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4
781,da,en,kyst,coast,0.4968051387932183,0.9224747263267526,51.0,0.14180107777297996,0.15468033658424793,2899.2648361463484,3162.594161801533,3,100,20446,dan,dani1285,Küste::N,køsd,k ø s d,kesd,KUST,KVST,validate,The physical world,Indo-European,4.12,eng,stan1293,kəʊst,k ə ʊ s t,k3ust,KEYST,KVST,validate,The physical world,Indo-European,4.86
789,da,en,frost,frost,0.5045892357665398,0.9305896112378216,36.0,0.14227427821524175,0.16918800017926022,2908.9398923888325,3459.217851665155,0,100,20446,dan,dani1285,Frost::N,ˈfʁɔsð,f ʁ ɔ s ð,fGos8,BRUSD,PRVST,validate,Sense perception,Indo-European,4.15,eng,stan1293,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97
814,da,en,sø,lake,0.5208963486262999,0.912011899312384,29.0,0.13137678763511446,0.1460019203281106,2686.12979998755,2985.155263028549,4,100,20446,dan,dani1285,See::N,søːˀ,s ø ø ˀ,se,SU,SV,validate,The physical world,Indo-European,4.31,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
875,da,en,bjerg,mountain,0.5604920882116504,0.9139954111407173,40.0,0.13019319110449176,0.14761086528795048,2661.9299853224384,3018.0517516774353,8,100,20446,dan,dani1285,Berg::N,bjɛʁˀw,b j ɛ ʁˀ w,byEGw,PJERW,PJVRW,validate,The physical world,Indo-European,4.38,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
5546,sq,en,mal,mountain,0.3699529394965004,0.8975267607191179,20.0,0.13428988928091887,0.14810564226582468,2754.151339262365,3037.4986172297986,6,100,20509,sqi,alba1267,Berg::N,mal,m a l,mal,MAL,MVR,validate,The physical world,Indo-European,,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
5651,sq,en,kodër,hill,0.453350550862147,0.9016375795627204,20.0,0.16226046326392152,0.1512783364729317,3327.7998410797663,3102.5674027233563,5,100,20509,sqi,alba1267,Hügel::N,kɔdəɾ,k ɔ d ə ɾ,kod3r,KUTER,KVTVR,validate,The physical world,Indo-European,,eng,stan1293,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82
5657,sq,en,shi,rain,0.4572280777139411,0.8920323737426623,22.0,0.13772082019218826,0.1560013089507825,2824.516301321589,3199.4308452715986,3,100,20509,sqi,alba1267,Regen::N,ʃi,ʃ i,Si,SI,SV,validate,The physical world,Indo-European,,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
5688,sq,en,mjegull,fog,0.4768987384090804,0.9187992742449216,25.0,0.16240698175132362,0.15977042217051884,3330.804788737896,3276.7315882951707,6,100,20509,sqi,alba1267,Nebel::N,mjɛɡʊɫ,m j ɛ ɡ ʊ ɫ,myEguL,MJEKYL,MJVKVR,validate,The physical world,Indo-European,,eng,stan1293,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89
5699,sq,en,borë,snow,0.4850341405142836,0.9125118631040604,45.0,0.15990503151285934,0.15229559672254134,3279.4922912972324,3123.4303931826007,4,100,20509,sqi,alba1267,Schnee::N,bɔɾə,b ɔ ɾ ə,bor3,PURE,PVRV,validate,The physical world,Indo-European,,eng,stan1293,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68
5706,sq,en,akull,ice,0.4872170142548477,0.9109752533098181,24.0,0.14697299406546369,0.14429317862714006,3014.269135288595,2959.3088004640153,5,100,20509,sqi,alba1267,Eis::N,akʊɫ,a k ʊ ɫ,akuL,AKYL,VKVR,validate,The physical world,Indo-European,,eng,stan1293,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96
5793,sq,en,det,sea,0.5478997830968202,0.9169367357914696,54.0,0.14386845659584468,0.14980979586441934,2950.5981763241784,3072.4491033833765,2,100,20509,sqi,alba1267,Meer::N,dɛt,d ɛ t,dEt,TET,TVT,validate,The physical world,Indo-European,,eng,stan1293,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09
5797,sq,en,bregdet,coast,0.5510716917989935,0.9136957581848844,49.0,0.15397758131963513,0.15008901284661574,3157.926215284397,3078.1755644712434,6,100,20509,sqi,alba1267,Küste::N,bɾɛɡdɛt,b ɾ ɛ ɡ d ɛ t,brEgdEt,PREKTET,PRVKTVT,validate,The physical world,Indo-European,,eng,stan1293,kəʊst,k ə ʊ s t,k3ust,KEYST,KVST,validate,The physical world,Indo-European,4.86
5804,sq,en,liqen,lake,0.5535604723899197,0.9153770392202042,28.0,0.14583183522418414,0.1432376502695848,2990.865108612793,2937.6609693789146,3,100,20509,sqi,alba1267,See::N,licɛn,l i c ɛ n,liTEn,LICEN,RVKVN,validate,The physical world,Indo-European,,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
5855,sq,en,jug,south,0.6098694545134566,0.9204682452776206,47.0,0.15377504602204953,0.15012108065636545,3153.772418866213,3078.8332431813988,4,100,20509,sqi,alba1267,Süden::N,jʊɡ,j ʊ ɡ,yug,JYK,JVK,validate,Spatial relations,Indo-European,,eng,stan1293,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4
5871,sq,en,lindje,east,0.6379546015430924,0.9153209754034798,40.0,0.1479199651556657,0.15207938864107615,3033.6905653775475,3118.9961816398313,6,100,20509,sqi,alba1267,Osten::N,lindjɛ,l i n d j ɛ,lindyE,LINTJE,RVNTJV,validate,Spatial relations,Indo-European,,eng,stan1293,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18
5885,sq,en,perëndim,west,0.6711055822295668,0.9140318758425928,44.0,0.15075357005315984,0.15241993944107135,3091.804968220256,3125.9805379969316,7,100,20509,sqi,alba1267,Westen::N,pɛɾəndim,p ɛ ɾ ə n d i m,pEr3ndim,PERENTIM,PVRVNTVM,validate,Spatial relations,Indo-European,,eng,stan1293,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29
5888,sq,en,veri,north,0.6758617030843177,0.9213520113910096,48.0,0.1521530618691187,0.1503186447174522,3120.507145873756,3082.8850845102274,4,100,20509,sqi,alba1267,Norden::N,vɛɾi,v ɛ ɾ i,vEri,BERI,WVRV,validate,Spatial relations,Indo-European,,eng,stan1293,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35
6159,hi,en,बरसना,rain,0.12288961714798613,0.9285782260635418,15.0,0.2371424172943412,0.16486407004644216,4901.0223382221475,3407.245735649821,5,100,20667,hin,hind1269,regnen::V,bərəsnaː,b ə r ə s n a a,b3r3sna,PERESNA,PVRVSNV,validate,The physical world,Indo-European,0.0,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
6165,hi,en,दक्खिन,south,0.12674183986857768,0.8771806990358425,0.0,0.17458084785855815,0.14645224048958602,3608.062382692821,3026.7284541982744,6,100,20667,hin,hind1269,Süden::N,dəkʰːɪn,d ə kʰ kʰ ɪ n,d3kin,TEKIN,TVKVN,validate,Spatial relations,Indo-European,0.0,eng,stan1293,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4
6356,hi,en,टीला,hill,0.19039077504145066,0.8963900715663958,5.0,0.17940503376542682,0.1553456555353024,3707.763832830077,3210.528662948095,4,100,20667,hin,hind1269,Hügel::N,ʈiːlaː,ʈ i i l a a,tila,TILA,TVRV,validate,The physical world,Indo-European,0.0,eng,stan1293,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82
6476,hi,en,ठंड,frost,0.2322098720113288,0.9084578395974772,36.0,0.17411183280885745,0.1617001161919219,3598.369248660657,3341.8563013384496,5,100,20667,hin,hind1269,Frost::N,ʈʰəɳɖ,ʈʰ ə ɳ ɖ,t3nd,TENT,TVNT,validate,Sense perception,Indo-European,4.08,eng,stan1293,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97
6590,hi,en,सरोवर,lake,0.2756105711129211,0.9047810604270092,14.0,0.1698064657514006,0.1442610141683609,3509.390227684197,2981.4423798175153,5,100,20667,hin,hind1269,See::N,səroːvər,s ə r o o v ə r,s3rov3r,SERUBER,SVRVWVR,validate,The physical world,Indo-European,3.54,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
6652,hi,en,हिम,snow,0.3123222420260534,0.911092691138061,31.0,0.14940816050336725,0.15765907439465884,3087.818453123091,3258.3400905144154,4,100,20667,hin,hind1269,Schnee::N,hɪm,h ɪ m,him,HIM,HVM,validate,The physical world,Indo-European,4.2,eng,stan1293,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68
6672,hi,en,उत्तर,north,0.32507920923768296,0.9051572480367308,15.0,0.1776910860533654,0.1448989653256134,3672.3416754649024,2994.6269163844518,5,100,20667,hin,hind1269,Norden::N,ʊtːər,ʊ t t ə r,ut3r,YTER,VTVR,validate,Spatial relations,Indo-European,5.53,eng,stan1293,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35
6682,hi,en,पहाड़,mountain,0.3283138204702176,0.9148042280951538,35.0,0.17086410809335356,0.14417922716647072,3531.248521965338,2979.75208784945,8,100,20667,hin,hind1269,Berg::N,pəhaːɽ,p ə h a a ɽ,p3har,PEHAR,PVHVR,validate,The physical world,Indo-European,4.48,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
6683,hi,en,हिम,ice,0.3286163321527433,0.9047536024539724,28.0,0.14940816050336725,0.1431227374010759,3087.818453123091,2957.9176138680355,3,100,20667,hin,hind1269,Eis::N,hɪm,h ɪ m,him,HIM,HVM,validate,The physical world,Indo-European,4.2,eng,stan1293,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96
6704,hi,en,बारिश,rain,0.3444920737304288,0.9278077822878668,40.0,0.18312326588405625,0.16486407004644216,3784.6085360257903,3407.245735649821,5,100,20667,hin,hind1269,Regen::N,baːrɪɕ,b a a r ɪ ɕ,bariS,PARIS,PVRVS,validate,The physical world,Indo-European,5.44,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
6710,hi,en,बर्फ़,snow,0.34659679495442003,0.9117016132902946,29.0,0.17840806650040422,0.15765907439465884,3687.1595103638538,3258.3400905144154,5,100,20667,hin,hind1269,Schnee::N,bərf,b ə r f,b3rf,PERB,PVRP,validate,The physical world,Indo-European,0.0,eng,stan1293,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68
6782,hi,en,सागर,sea,0.3824706482044286,0.9016219437511084,31.0,0.1555852228661064,0.14642155853929367,3215.4798009738206,3026.094350331582,4,100,20667,hin,hind1269,Meer::N,saːɡər,s a a ɡ ə r,sag3r,SAKER,SVKVR,validate,The physical world,Indo-European,5.02,eng,stan1293,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09
6798,hi,en,कुहरा,fog,0.3886473983483677,0.9038033921405296,15.0,0.21982663787032927,0.16064018055984092,4543.157124866095,3319.950611630233,5,100,20667,hin,hind1269,Nebel::N,kʊhəraː,k ʊ h ə r a a,kuh3ra,KYHERA,KVHVRV,validate,The physical world,Indo-European,0.0,eng,stan1293,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89
6821,hi,en,पहाड़,hill,0.3992506259006545,0.8997454085974873,12.0,0.17086410809335356,0.1553456555353024,3531.248521965338,3210.528662948095,5,100,20667,hin,hind1269,Hügel::N,pəhaːɽ,p ə h a a ɽ,p3har,PEHAR,PVHVR,validate,The physical world,Indo-European,4.48,eng,stan1293,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82
6826,hi,en,बर्फ़,ice,0.4028497406700433,0.9122013454388072,24.0,0.17840806650040422,0.1431227374010759,3687.1595103638538,2957.9176138680355,5,100,20667,hin,hind1269,Eis::N,bərf,b ə r f,b3rf,PERB,PVRP,validate,The physical world,Indo-European,0.0,eng,stan1293,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96
6918,hi,en,समुद्र,sea,0.4645623431688058,0.9300960541887728,39.0,0.17296097563292406,0.14642155853929367,3574.584483405641,3026.094350331582,6,100,20667,hin,hind1269,Meer::N,səmʊdr,s ə m ʊ d r,s3mudr,SEMYTR,SVMVTR,validate,The physical world,Indo-European,4.72,eng,stan1293,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09
6952,hi,en,पूरब,east,0.4963387970091061,0.9112276584085712,22.0,0.1787434383890434,0.14566725569206596,3694.09064118636,3010.5051733879272,4,100,20667,hin,hind1269,Osten::N,puːrəb,p u u r ə b,pur3b,PYREP,PVRVP,validate,Spatial relations,Indo-European,4.16,eng,stan1293,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18
6973,hi,en,झील,lake,0.5302189623146878,0.9249868510159056,33.0,0.15489379818809346,0.1442610141683609,3201.190127153327,2981.4423798175153,4,100,20667,hin,hind1269,See::N,d͡ʒʰiːl,d͡ʒ ʰ i i l,jil,CIL,KVR,validate,The physical world,Indo-European,4.42,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
6989,hi,en,पश्चिम,west,0.5690496960573393,0.9259399244500436,27.0,0.16653501834712978,0.14885592605471695,3441.779224180131,3076.405423772835,6,100,20667,hin,hind1269,Westen::N,pəɕt͡ʃɪm,p ə ɕ t͡ʃ ɪ m,p3SCim,PESCIM,PVSKVM,validate,Spatial relations,Indo-European,5.16,eng,stan1293,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29
11072,no,en,is,ice,0.11894189427996595,0.9008122155906172,3.0,0.15180991346257486,0.15005467570953968,3109.9778871943076,3074.020086585629,2,100,20486,nor,norw1258,Eis::N,iːs,i i s,is,IS,VS,validate,The physical world,Indo-European,,eng,stan1293,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96
11161,no,en,haug,hill,0.16439223288177127,0.8712734060447774,3.0,0.14613515022996015,0.15801382418370968,2993.724687610964,3237.071202227476,3,100,20486,nor,norw1258,Hügel::N,hæʉ,h æ ʉ,hE3,HEY,HV,validate,The physical world,Indo-European,,eng,stan1293,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82
11195,no,en,berg,mountain,0.184559361619776,0.8719833904770462,0.0,0.13926807773361988,0.1496540380400515,2853.045840450937,3065.8126232884947,8,100,20486,nor,norw1258,Berg::N,bærɡ,b æ r ɡ,bErg,PERK,PVRK,validate,The physical world,Indo-European,,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
11362,no,en,bakke,hill,0.2888837396354151,0.8879859698857633,6.0,0.14323853010203952,0.15801382418370968,2934.384527670381,3237.071202227476,5,100,20486,nor,norw1258,Hügel::N,ˈbakːə,b a k k ə,bak3,PAKE,PVKV,validate,The physical world,Indo-European,,eng,stan1293,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82
11377,no,en,regne,rain,0.3016050063861879,0.8415595206292383,2.0,0.16607646362491615,0.15447118264180398,3402.242433820033,3164.4966475999963,3,100,20486,nor,norw1258,regnen::V,ˈræjnə,r æ j n ə,rEyn3,REJNE,RVJNV,validate,The physical world,Indo-European,,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
11421,no,en,snø,snow,0.32238816239729706,0.9275436405037656,50.0,0.14717012365994706,0.15888372872316378,3014.9271532976745,3254.892066622733,2,100,20486,nor,norw1258,Schnee::N,snøː,s n ø ø,sne,SNU,SNV,validate,The physical world,Indo-European,,eng,stan1293,snəʊ,s n ə ʊ,sn3u,SNEY,SNV,validate,The physical world,Indo-European,4.68
11451,no,en,sjø,lake,0.336071480520356,0.892433275609992,18.0,0.1418400224974248,0.14847015371865724,2905.734700882245,3041.559569080412,4,100,20486,nor,norw1258,See::N,ʃøː,ʃ ø ø,Se,SU,SV,validate,The physical world,Indo-European,,eng,stan1293,leɪk,l e ɪ k,leik,LEIK,RVK,validate,The physical world,Indo-European,4.74
11462,no,en,tåke,fog,0.3424681077549585,0.9303574364529886,39.0,0.1507343603101027,0.16504490725111293,3087.9441053127643,3381.1099699462993,4,100,20486,nor,norw1258,Nebel::N,ˈtoːkə,t o o k ə,tok3,TUKE,TVKV,validate,The physical world,Indo-European,,eng,stan1293,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89
11553,no,en,regn,rain,0.3944930819683923,0.9341506079570604,55.0,0.1666576165933273,0.15447118264180398,3414.1479335309027,3164.4966475999963,2,100,20486,nor,norw1258,Regen::N,ræjn,r æ j n,rEyn,REJN,RVJN,validate,The physical world,Indo-European,,eng,stan1293,ɹeɪn,ɹ e ɪ n,rein,REIN,RVN,validate,The physical world,Indo-European,4.71
11570,no,en,fjell,mountain,0.404771227793024,0.9230165513721053,44.0,0.1424085776450055,0.1496540380400515,2917.3821216355827,3065.8126232884947,8,100,20486,nor,norw1258,Berg::N,fjɛl,f j ɛ l,fyEl,BJEL,PJVR,validate,The physical world,Indo-European,,eng,stan1293,ˈmaʊntɪn,m a ʊ n t ɪ n,mauntin,MAYNTIN,MVNTVN,validate,The physical world,Indo-European,4.72
11603,no,en,hav,sea,0.4262627237742762,0.92365908611368,40.0,0.1511103776485113,0.1532031556420576,3095.6471965074024,3138.519846483193,3,100,20486,nor,norw1258,Meer::N,haːv,h a a v,hav,HAB,HVW,validate,The physical world,Indo-European,,eng,stan1293,siː,s i i,si,SI,SV,validate,The physical world,Indo-European,5.09
11693,no,en,kyst,coast,0.4811943963627053,0.9139239578748108,40.0,0.1362917342510724,0.1555363250601874,2792.0724678674687,3186.317155182999,3,100,20486,nor,norw1258,Küste::N,çʏst,ç ʏ s t,Sist,SYST,SVST,validate,The physical world,Indo-European,,eng,stan1293,kəʊst,k ə ʊ s t,k3ust,KEYST,KVST,validate,The physical world,Indo-European,4.86
11696,no,en,sør,south,0.4814266177284208,0.9366805496544754,40.0,0.14533167657563414,0.15351913183994384,2977.2647263284416,3144.992934873089,4,100,20486,nor,norw1258,Süden::N,søːr,s ø ø r,ser,SUR,SVR,validate,Spatial relations,Indo-European,,eng,stan1293,saʊθ,s a ʊ θ,sau8,SAYD,SVT,validate,Spatial relations,Indo-European,5.4
11711,no,en,frost,frost,0.48969168294121007,0.9342698288026076,35.0,0.15601586679074295,0.17325305994322976,3196.141047075161,3549.262185997005,0,100,20486,nor,norw1258,Frost::N,frɔst,f r ɔ s t,frost,BRUST,PRVST,validate,Sense perception,Indo-European,,eng,stan1293,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97
11720,no,en,nord,north,0.496717017957751,0.937885703734506,41.0,0.1475947509369514,0.15590349096696812,3023.6260676943866,3193.838915949309,2,100,20486,nor,norw1258,Norden::N,nuːr,n u u r,nur,NYR,NVR,validate,Spatial relations,Indo-European,,eng,stan1293,nɔːθ,n ɔ ɔ θ,no8,NUD,NVT,validate,Spatial relations,Indo-European,5.35
11739,no,en,vest,west,0.5077100813349504,0.9262504257700308,36.0,0.14044542499328147,0.15663152024545782,2877.164976412364,3208.753323748449,1,100,20486,nor,norw1258,Westen::N,vɛst,v ɛ s t,vEst,BEST,WVST,validate,Spatial relations,Indo-European,,eng,stan1293,west,w e s t,west,WEST,WVST,validate,Spatial relations,Indo-European,5.29
11747,no,en,øst,east,0.5136266712468277,0.929651076262284,42.0,0.1414798201379115,0.1549002048120758,2898.355595345255,3173.285595780185,2,100,20486,nor,norw1258,Osten::N,œst,œ s t,Est,UST,VST,validate,Spatial relations,Indo-European,,eng,stan1293,iːst,i i s t,ist,IST,VST,validate,Spatial relations,Indo-European,5.18
11996,en,ta,hill,குன்று,0.07746657921024427,0.8950010313500413,7.0,0.1535359842612739,0.16107639487559233,3114.6309767242024,3267.595746446266,6,100,20286,eng,stan1293,Hügel::N,hɪl,h ɪ l,hil,HIL,HVR,validate,The physical world,Indo-European,4.82,tam,tami1289,kunru,k u n r u,kunru,KYNRY,KVNRV,validate,The physical world,Dravidian,
12234,en,ta,fog,பனிமூட்டம்,0.2798378696346944,0.92341011930719,21.0,0.16001513406541615,0.20978484579933224,3246.067009651032,4255.6953818852535,10,100,20286,eng,stan1293,Nebel::N,fɒɡ,f ɒ ɡ,fog,BOK,PVK,validate,The physical world,Indo-European,3.89,tam,tami1289,pʌnimuːʈːʌm,p ʌ n i m u u ʈ ʈ ʌ m,ponimutom,PENIMYTEM,PVNVMVTVM,validate,The physical world,Dravidian,
12307,en,ta,frost,உறைபனி,0.3360532661075004,0.9043215368546228,28.0,0.16741301209646567,0.1860261938473551,3396.1403633889026,3773.7273683874455,6,100,20286,eng,stan1293,Frost::N,fɹɒst,f ɹ ɒ s t,frost,BROST,PRVST,validate,Sense perception,Indo-European,3.97,tam,tami1289,urʌiβʌni,u r ʌ i β ʌ n i,uroiboni,YREIBENI,VRVPVNV,validate,Sense perception,Dravidian,
12340,en,ta,ice,பனிக்கட்டி,0.3592170268335084,0.915278876011238,28.0,0.1450935201160093,0.1893453863498138,2943.367149073364,3841.060507492322,10,100,20286,eng,stan1293,Eis::N,aɪs,a ɪ s,ais,AIS,VS,validate,The physical world,Indo-European,4.96,tam,tami1289,pʌnikːʌʈːi,p ʌ n i k k ʌ ʈ ʈ i,ponikoti,PENIKETI,PVNVKVTV,validate,The physical world,Dravidian,
