language,word,meaning,corpus,size,genre,word.count,freq.type,states,mean.roc,sd.roc,fpm,lfpm,clfpm,c.rate,word.type
English,Adj.,FAR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,288,NA,19,3.14,0.04,2.88,1.05779029414785,-1.18474832736832,0.0703076812977099,swadesh.word
English,Noun,FAT (SUBSTANCE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,21,NA,31,4.89,0.03,0.21,-1.56064774826467,-3.80318636978085,1.82030768129771,swadesh.word
English,Verb,TO FEAR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,53,NA,25,4.06,0.03,0.53,-0.63487827243597,-2.87741689395215,0.990307681297709,swadesh.word
English,Noun,FEATHER (LARGE),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,13,NA,15,2.35,0.04,0.13,-2.04022082852655,-4.28275945004273,-0.71969231870229,swadesh.word
English,Adj.,FEW,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,450,NA,31,4.45,0.03,4.5,1.50407739677627,-0.738461224739904,1.38030768129771,swadesh.word
English,Verb,TO FIGHT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,108,NA,29,4.21,0.03,1.08,0.0769610411361284,-2.16557758038005,1.14030768129771,swadesh.word
English,Noun,FIRE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,145,NA,15,1.75,0.03,1.45,0.371563556432483,-1.87097506508369,-1.31969231870229,swadesh.word
English,Noun,FISH,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,105,NA,11,1.45,0.04,1.05,0.0487901641694318,-2.19374845734675,-1.61969231870229,swadesh.word
English,Number,FIVE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,409,NA,1,0.09,0.09,4.09,1.40854497005471,-0.833993651461468,-2.97969231870229,swadesh.word
English,Verb,TO FLOAT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,20,NA,27,4.04,0.03,0.2,-1.6094379124341,-3.85197653395028,0.97030768129771,swadesh.word
English,Verb,TO FLOW,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,26,NA,27,3.4,0.03,0.26,-1.34707364796661,-3.58961226948279,0.33030768129771,swadesh.word
English,Noun,FLOWER,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,76,NA,18,2.29,0.03,0.76,-0.27443684570176,-2.51697546721794,-0.77969231870229,swadesh.word
English,Verb,TO FLY,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,90,NA,21,2.83,0.03,0.9,-0.105360515657826,-2.347899137174,-0.23969231870229,swadesh.word
English,Noun,FOG,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,11,NA,32,4.97,0.04,0.11,-2.20727491318972,-4.4498135347059,1.90030768129771,swadesh.word
English,Noun,FOOT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,214,NA,12,1.39,0.03,2.14,0.76080582903376,-1.48173279248242,-1.67969231870229,swadesh.word
English,Number,FOUR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,465,NA,2,0.38,0.13,4.65,1.53686721959926,-0.705671401916913,-2.68969231870229,swadesh.word
English,Verb,TO FREEZE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,20,NA,20,2.69,0.03,0.2,-1.6094379124341,-3.85197653395028,-0.37969231870229,swadesh.word
English,Noun,FRUIT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,51,NA,23,2.95,0.03,0.51,-0.673344553263766,-2.91588317477994,-0.11969231870229,swadesh.word
English,Verb,TO GIVE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1284,NA,7,0.76,0.04,12.84,2.55256529826182,0.310026676745637,-2.30969231870229,swadesh.word
English,Adj.,GOOD,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1276,NA,25,3.04,0.03,12.76,2.54631527791664,0.303776656400466,-0.0296923187022902,swadesh.word
English,Noun,GRASS,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,45,NA,22,2.73,0.03,0.45,-0.798507696217772,-3.04104631773395,-0.33969231870229,swadesh.word
English,Adj.,GREEN,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,101,NA,19,2.46,0.03,1.01,0.00995033085316809,-2.23258829066301,-0.60969231870229,swadesh.word
English,Noun,GUTS,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,5,NA,35,6.89,0.04,0.05,-2.99573227355399,-5.23827089507017,3.82030768129771,swadesh.word
English,Noun,HAIR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,150,NA,24,3.61,0.03,1.5,0.405465108108164,-1.83707351340801,0.54030768129771,swadesh.word
English,Noun,HAND,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,532,NA,8,0.82,0.04,5.32,1.67147330335355,-0.571065318162625,-2.24969231870229,swadesh.word
English,Pronoun,HE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,8469,NA,11,2.45,0.05,84.69,4.43899753093351,2.19645890941733,-0.61969231870229,swadesh.word
English,Noun,HEAD,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,402,NA,17,2.32,0.03,4.02,1.39128190263093,-0.851256718885249,-0.74969231870229,swadesh.word
English,Verb,TO HEAR,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,367,NA,15,2.35,0.04,3.67,1.30019166206648,-0.942346959449699,-0.71969231870229,swadesh.word
English,Noun,HEART,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,152,NA,13,1.69,0.03,1.52,0.418710334858185,-1.82382828665799,-1.37969231870229,swadesh.word
English,Adj.,HEAVY,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,105,NA,20,2.89,0.03,1.05,0.0487901641694318,-2.19374845734675,-0.17969231870229,swadesh.word
English,Adv.,HERE,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,699,NA,24,3.25,0.03,6.99,1.94448055624572,-0.298058065270459,0.18030768129771,swadesh.word
English,Verb,TO HIT,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,107,NA,40,5.51,0.03,1.07,0.0676586484738147,-2.17487997304236,2.44030768129771,swadesh.word
English,Verb,HOLD (IN HAND),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,481,NA,29,4.48,0.03,4.81,1.57069708411767,-0.671841537398508,1.41030768129771,swadesh.word
English,Adv.,HOW,"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,1016,NA,3,0.41,0.08,10.16,2.31845844215034,0.0759198206341578,-2.65969231870229,swadesh.word
English,Verb,TO HUNT (GAME),"BNC, http://www.natcorp.ox.ac.uk",100000000,spoken&written,15,NA,23,3.33,0.03,0.15,-1.89711998488588,-4.13965860640206,0.26030768129771,swadesh.word
